#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_signum,#item+rem+i_eng+is_latn+ix_completum,#item+rem+i_eng+is_latn+ix_definitionem,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_ara+is_arab,#item+rem+i_hye+is_armn,#item+rem+i_ben+is_beng,#item+rem+i_rus+is_cyrl,#item+rem+i_hin+is_deva,#item+rem+i_xmf+is_geor,#item+rem+i_grc+is_grek,#item+rem+i_kan+is_knda,#item+rem+i_kor+is_hang,#item+rem+i_lzh+is_hant,#item+rem+i_heb+is_hebr,#item+rem+i_lat+is_latn,#item+rem+i_mni+is_mtei,#item+rem+i_mnw+is_mymr,#item+rem+i_nqo+is_nkoo,#item+rem+i_sat+is_olck,#item+rem+i_tam+is_taml,#item+rem+i_tel+is_telu,#item+rem+i_tha+is_thai,#item+rem+i_san+is_zyyy,#item+rem+i_zho+is_zyyy,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zyyy,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zyyy,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_tur+is_latn,#item+rem+i_nds+is_latn,#item+rem+i_oci+is_latn,#item+rem+i_zho+is_hans,#item+rem+i_bre+is_latn,#item+rem+i_arz+is_latn,#item+rem+i_afr+is_latn,#item+rem+i_ltz+is_latn,#item+rem+i_sco+is_latn,#item+rem+i_bar+is_latn,#item+rem+i_arg+is_latn,#item+rem+i_zho+is_hant,#item+rem+i_pap+is_latn,#item+rem+i_cos+is_latn,#item+rem+i_gsw+is_latn,#item+rem+i_isl+is_latn,#item+rem+i_min+is_latn,#item+rem+i_roh+is_latn,#item+rem+i_vec+is_latn,#item+rem+i_pms+is_latn,#item+rem+i_scn+is_latn,#item+rem+i_srd+is_latn,#item+rem+i_gla+is_latn,#item+rem+i_lim+is_latn,#item+rem+i_wln+is_latn,#item+rem+i_srp+is_latn,#item+rem+i_vls+is_latn,#item+rem+i_nap+is_latn,#item+rem+i_lij+is_latn,#item+rem+i_fur+is_latn,#item+rem+i_pcd+is_latn,#item+rem+i_wol+is_latn,#item+rem+i_kon+is_latn,#item+rem+i_frp+is_latn,#item+rem+i_wuu+is_zyyy,#item+rem+i_srp+is_cyrl,#item+rem+i_urd+is_arab,#item+rem+i_gan+is_zyyy,#item+rem+i_lit+is_latn,#item+rem+i_gan+is_hans,#item+rem+i_hbs+is_latn,#item+rem+i_lav+is_latn,#item+rem+i_bos+is_latn,#item+rem+i_srn+is_latn,#item+rem+i_azb+is_arab,#item+rem+i_jav+is_latn,#item+rem+i_ell+is_grek,#item+rem+i_sun+is_latn,#item+rem+i_fry+is_latn,#item+rem+i_ace+is_latn,#item+rem+i_jam+is_latn,#item+rem+i_che+is_cyrl,#item+rem+i_bel+is_cyrl,#item+rem+i_kab+is_latn,#item+rem+i_fao+is_latn,#item+rem+i_vmf+is_latn,#item+rem+i_bam+is_zyyy,#item+rem+i_frc+is_latn,#item+rem+i_prg+is_latn,#item+rem+i_lmo+is_latn,#item+rem+i_mar+is_deva,#item+rem+i_ady+is_cyrl,#item+rem+i_ary+is_arab,#item+rem+i_awa+is_deva,#item+rem+i_ban+is_latn,#item+rem+i_ast+is_latn,#item+rem+i_bcl+is_latn,#item+rem+i_bho+is_deva,#item+rem+i_bpy+is_beng,#item+rem+i_bxr+is_cyrl,#item+rem+i_cdo+is_zyyy,#item+rem+i_ckb+is_arab,#item+rem+i_diq+is_latn,#item+rem+i_dsb+is_latn,#item+rem+i_dty+is_deva,#item+rem+i_ext+is_latn,#item+rem+i_gcr+is_latn,#item+rem+i_gom+is_zyyy,#item+rem+i_frr+is_latn,#item+rem+i_hak+is_zyyy,#item+rem+i_hif+is_zyyy,#item+rem+i_hsb+is_latn,#item+rem+i_hyw+is_armn,#item+rem+i_ilo+is_latn,#item+rem+i_inh+is_cyrl,#item+rem+i_kaa+is_latn,#item+rem+i_kbd+is_cyrl,#item+rem+i_kbp+is_latn,#item+rem+i_mai+is_deva,#item+rem+i_mhr+is_cyrl,#item+rem+i_mwl+is_latn,#item+rem+i_mzn+is_arab,#item+rem+i_nah+is_latn,#item+rem+i_nan+is_latn,#item+rem+i_new+is_deva,#item+rem+i_pam+is_latn,#item+rem+i_pfl+is_latn,#item+rem+i_pnb+is_arab,#item+rem+i_rue+is_cyrl,#item+rem+i_rup+is_latn,#item+rem+i_sah+is_cyrl,#item+rem+i_sgs+is_latn,#item+rem+i_shi+is_zyyy,#item+rem+i_shn+is_mymr,#item+rem+i_smn+is_latn,#item+rem+i_stq+is_latn,#item+rem+i_szl+is_latn,#item+rem+i_tcy+is_zyyy,#item+rem+i_udm+is_cyrl,#item+rem+i_vep+is_latn,#item+rem+i_vro+is_latn,#item+rem+i_yue+is_zyyy,#item+rem+i_crh+is_latn,#item+rem+i_crh+is_cyrl,#item+rem+i_lad+is_zyyy,#item+rem+i_lez+is_cyrl,#item+rem+i_swa+is_latn,#item+rem+i_zha+is_zyyy,#item+rem+i_yor+is_latn,#item+rem+i_yid+is_hebr,#item+rem+i_xho+is_latn,#item+rem+i_uzb+is_latn,#item+rem+i_uig+is_zyyy,#item+rem+i_uig+is_arab,#item+rem+i_uig+is_latn,#item+rem+i_tat+is_zyyy,#item+rem+i_tat+is_cyrl,#item+rem+i_tat+is_latn,#item+rem+i_tso+is_latn,#item+rem+i_tgl+is_latn,#item+rem+i_tuk+is_latn,#item+rem+i_vol+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_jbo+is_latn,#item+rem+i_nov+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
1603:45:1:0:999:1,0_999_1,,,1603_45_1 numerordinatio IDs are not stable yet (as 2022-01-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:999:2,0_999_2,,,https://www.un.org/en/about-us/un-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:999:3,0_999_3,,,https://www.un.org/sites/un2.un.org/files/un_system_chart.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:999:4,0_999_4,,,Initial data for concept building from https://www.un.org/en/about-us/un-system on 2021-01-18 (archive: https://archive.is/wip/zrNhU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:999:5,0_999_5,,,"The use of /term name/ (not exact, but near same idea) or //term name// uses the logic of International Phonetic Alphabet (IPA).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,,,,,Multiplicēs scrīptōribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,,,,,EticaAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,,,CC0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,,,2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:1603:1:7:2616:655,0_1603_1_7_2616_655,,,,,,,,Vicidata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:1603:1:7:2616:854:1,0_1603_1_7_2616_854_1,,,,,,,,https://www.un.org/en/about-us/un-system||/Authorative reference for United Nations related concepts. Incomplete. HTML format/@eng-Latn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:1603:1:7:2616:854:2,0_1603_1_7_2616_854_2,,,,,,,,https://www.un.org/sites/un2.un.org/files/un_system_chart.pdf||/Authorative reference for United Nations related concepts. Incomplete. PDF format./@eng-Latn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:0:1603:1:7:2616:854:3,0_1603_1_7_2616_854_3,,,,,,,,"https://data.ifrc.org/fdrs/national-societies||/Authorative reference for Red Cross National Societies. (We sincronize using Wikidata, not this site)/@eng-Latn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
