#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_signum,#item+rem+i_eng+is_latn+ix_completum,#item+rem+i_eng+is_latn+ix_definitionem,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:45:1:0:999:1,0_999_1,1603_45_1 numerordinatio IDs are not stable yet (as 2022-01-18),,,,,
1603:45:1:0:999:2,0_999_2,https://www.un.org/en/about-us/un-system,,,,,
1603:45:1:0:999:3,0_999_3,https://www.un.org/sites/un2.un.org/files/un_system_chart.pdf,,,,,
1603:45:1:0:999:4,0_999_4,Initial data for concept building from https://www.un.org/en/about-us/un-system on 2021-01-18 (archive: https://archive.is/wip/zrNhU),,,,,
1603:45:1:0:999:5,0_999_5,"The use of /term name/ (not exact, but near same idea) or //term name// uses the logic of International Phonetic Alphabet (IPA).",,,,,
1603:45:1:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,,,Multiplicēs scrīptōribus
1603:45:1:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,,,EticaAI
1603:45:1:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,CC0-1.0
1603:45:1:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,2022-01-01
1603:45:1:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,"This Numerodinatio table contains terminologies related to humanitarian organizations, mostly what is called UN System and Red Cross and International Red Cross and Red Crescent Movement. The initial version was a mixed result of https://www.un.org/en/about-us/un-system and additional organizations which do exist on Wikidata/Wikipedia (including at Global level) with official websites on UN (see https://www.wikidata.org/w/index.php?search=United+Nations&search=United+Nations).\n\nAll work on the main concept tables is manually compiled and reviewed by EticaAI. The goal is to increase multilingualism. For the sake of disambiguation, names, abbreviations and definitions (when they're found) are used from official UN sources as 2022-01.\n\nAuthoritative status: this work is not authoritative. The main goal is to compile and share community translations and be good enough to be usable.\n\n**Caveats**:\n\n. The current version is incomplete. Neither the Wikimedia ecosystem nor the UN system (as admitted on their reference) are complete. A reviewed version of both can still be incomplete or have additional errors. Worst case scenario: label an single organization to wrong Wiki QID (lexicography compilation error). Typical scenario: some organization missing and you (aware of this) don't ping us to add it.\n. The community translations are not official. This doesn't mean they're necessarily wrong: with up to 200 potential language translations it would be hard for any organization to have human resources to validate."
