qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,jpn-Jpan-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,jpn-Jpan-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,jpn-Jpan-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:392:2:1001,1001,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1001,Erimo Town,えりも町,JP01001,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1002,1002,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1002,Setana Town,せたな町,JP01002,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1003,1003,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1003,Niseko,ニセコ町,JP01003,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1004,1004,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1004,Mukawa,むかわ町,JP01004,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1005,1005,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1005,Nanae,七飯町,JP01005,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1006,1006,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1006,Mikasa,三笠市,JP01006,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1007,1007,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1007,Kaminokuni,上ノ国町,JP01007,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1008,1008,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1008,Kamishihoro,上士幌町,JP01008,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1009,1009,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1009,Kamifurano,上富良野,JP01009,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1010,1010,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1010,Kawakami-cho,上川町,JP01010,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1011,1011,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1011,Kamisunagawa-cho,上砂川町,JP01011,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1012,1012,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1012,Shimokawa-cho,下川町,JP01012,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1013,1013,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1013,Chuo-ku,中央区,JP01013,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1014,1014,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1014,Nakafurano-cho,中富良野,JP01014,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1015,1015,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1015,Nakagawa-cho,中川町,JP01015,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1016,1016,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1016,Nakasatsunai-mura,中札内村,JP01016,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1017,1017,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1017,Nakashibetsu-cho,中標津町,JP01017,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1018,1018,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1018,Nakatonbetsu-cho,中頓別町,JP01018,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1019,1019,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1019,Otobe-cho,乙部町,JP01019,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1020,1020,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1020,Kyogoku-cho,京極町,JP01020,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1021,1021,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1021,Niki-cho,仁木町,JP01021,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1022,1022,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1022,Imakane-cho,今金町,JP01022,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1023,1023,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1023,Date City,伊達市,JP01023,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1024,1024,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1024,Saroma-cho,佐呂間町,JP01024,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1025,1025,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1025,Yoichi-cho,余市町,JP01025,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1026,1026,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1026,Kutchan-cho,倶知安町,JP01026,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1027,1027,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1027,Yakumo-cho,八雲町,JP01027,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1028,1028,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1028,Kyowa-cho,共和町,JP01028,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1029,1029,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1029,Hakodate City,函館市,JP01029,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1030,1030,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1030,Shosanbetsu-mura,初山別村,JP01030,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1031,1031,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1031,Betsukai-cho,別海町,JP01031,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1032,1032,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1032,Rishirifuji-cho,利尻富士,JP01032,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1033,1033,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1033,Rishiri-cho,利尻町,JP01033,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1034,1034,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1034,Kenbuchi-cho,剣淵町,JP01034,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1035,1035,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1035,Kita-ku,北区,JP01035,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:1036,1036,1603:45:16:392:0,1603:45:16:392:1:1,1603:45:16:392:2:1036,Kitahiroshima City,北広島市,JP01036,Hokkaido,北海道,JP01,Japan,日本,JP,2019-12-17,2019-12-19,
