admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Kailahun,SL0101,Kailahun,,,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kenema,SL0102,Kenema,,,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kono,SL0103,Kono,,,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bombali,SL0201,Bombali,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Kambia,SL0202,Kambia,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Koinadugu,SL0203,Koinadugu,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Port Loko,SL0204,Port Loko,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Tonkolili,SL0205,Tonkolili,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Bo,SL0301,Bo,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
Bonthe,SL0302,Bonthe,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
Moyamba,SL0303,Moyamba,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
Pujehun,SL0304,Pujehun,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
Western Area Rural,SL0401,Western Area Rural,,,Western,SL04,Sierra Leone,SL,2017-08-16,2022-01-04,
Western Area Urban,SL0402,Western Area Urban,,,Western,SL04,Sierra Leone,SL,2017-08-16,2022-01-04,
