admin1Name_en,admin1Name_da,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_da,admin1AltName2_da,admin0Name_en,admin0Name_da,admin0Pcode,date,validOn,validTo,regionName_en,regionName_da,regionCode
Kabul,کابل,AF01,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Kapisa,کاپیسا,AF02,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Parwan,پروان,AF03,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Maidan Wardak,میدان وردک,AF04,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Logar,لوگر,AF05,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Nangarhar,ننگرهار,AF06,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Laghman,لغمان,AF07,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Panjsher,پنجشیر,AF08,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Baghlan,بغلان,AF09,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Bamyan,بامیان,AF10,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Ghazni,غزنی,AF11,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Paktika,پکتیکا,AF12,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Paktya,پکتیا,AF13,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Khost,خوست,AF14,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Kunar,کنر ها,AF15,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Nuristan,نورستان,AF16,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Badakhshan,بدخشان,AF17,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Takhar,تخار,AF18,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Kunduz,کندز,AF19,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Samangan,سمنگان,AF20,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Balkh,بلخ,AF21,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Sar-e-Pul,سرپل,AF22,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Ghor,غور,AF23,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Daykundi,دایکندی,AF24,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Uruzgan,ارزگان,AF25,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Zabul,زابل,AF26,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Kandahar,کندهار,AF27,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Jawzjan,جوزجان,AF28,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Faryab,فاریاب,AF29,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Hilmand,هلمند,AF30,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Badghis,بادغیس,AF31,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Hirat,هرات,AF32,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Farah,فراه,AF33,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Nimroz,نیمروز,AF34,,,,,,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
