admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Port of Spain,TT10,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
San Fernando,TT20,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Arima,TT30,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Diego Martin,TT31,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
San Juan-Laventille,TT32,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Tunapuna/Piarco,TT33,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Couva-Tabaquite-Talparo,TT36,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Chaguanas,TT40,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Mayaro/Rio Claro,TT51,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Sangre Grande,TT61,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Princes Town,TT71,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Penal-Debe,TT72,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Point Fortin,TT80,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Siparia,TT81,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
Tobago,TT90,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
