#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_mul+is_zyyy,#item+rem+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:1:8000:0:1603:1:7:2616:98,0_1603_1_7_2616_98,,,,,EticaAI
1603:1:8000:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,2022-04-24
1603:1:8000:0:1603:1:7:2616:859,0_1603_1_7_2616_859,,,,,pro bonō publicō
1603:1:8000:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,CC0-1.0
1603:1:8000:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,//Dicionários de lista de potenciais futuros dicionários//@por-Latn
1603:1:8000:1,1,,,/Dicionários internos/@por-latn,,
1603:1:8000:100,100,,,/Estatística/@por-Latn,,
1603:1:8000:100:1,100_1,Q7295720,,/Escala de classificação/@por-Latn,,
1603:1:8000:100:1:5,100_1_5,Q617473,,/Escala Likert/@por-Latn,,
1603:1:8000:100:1:10,100_1_10,Q7429725,,/Escala de um a dez/@por-Latn,,
1603:1:8000:200,200,Q41710,,/Grupo étnico/@por-Latn,,
1603:1:8000:200:1,200_1,Q780000,,/Lista de grupos étnicos/@por-Latn,,
1603:1:8000:320,320,Q134550,,/Transliteração/@por-Latn,,
1603:1:8000:320:1,320_1,Q466126,,/Romanização do grego/@por-Latn,,
1603:1:8000:320:2,320_2,Q6453319,,/Romanização do russo/@por-Latn,,
1603:1:8000:440,440,Q495304,,/Ciência forense/@por-Latn,"Todos os dicionários criados em [1603:42] são sobre ciência forense. Embora a área seja vasta, o ideal é ter ajuda para decidir o que tem mais seria mais óbvio/fácil de priorizar para codificar eventos relevantes que também ocorrem como evidências para crimes de guerra e crimes contra a humanidade, o que implica em crimes que envolvem principalmente sinais assassinato intencional. Algumas informações:\n\n. Sinais de mortes recentes (seja pela quantidade de corpos, ou pela falta de experiência de quem coleta evidências) não têm chance de perícia aprofundada de médico legista, então o que acaba sendo relevante são fotos (provavelmente tiradas por alguém da comunidade local e está em estado de choque).\n. Perícias meses (normalmente anos depois) da exumação de covas coletivas e feitas por especialistas internacionais são uma ferramenta comum muito que tem validade mais aceita em investigações criminais. No caso de quantidade alta de locais, a exemplo do que aconteceu no genocídio de Ruanda em 1994 (mais de meio milhão de pessoas), a exumação é feita por amostragem: perícia detalhada de um ou poucos locais exemplares (e não perícia rasa de muitos locais).\n. Típicamente quem comete o crime assume sair impunemente, age com brutalidade, e não faz questão de esconder (ou não sabe) detalhes que seriam óbvios em perícia. Normalmente não há governo funcional na região, e o acesso de investigadores será bloqueado principalmente se não for viável a argumentação de que é uma ação de grupo opositor.\n. (...)",
1603:1:8000:876,876,Q154136,1604_99_876,/Sexualidade humana/@por-Latn,,
1603:1:8000:876:2,876_2,Q290,,/Sexo biológico/@por-Latn,,
1603:1:8000:876:3,876_3,Q48264,,/Identidade de gênero/@por-Latn,,
1603:1:8000:876:4,876_4,Q162378,,//Dictionaries of grammatical gender//,,
1603:1:8000:876:5,876_5,,,//Dictionaries of third-person pronouns//,,
1603:1:8000:3000,3000,Q56061,,/Divisão administrativa/@por-Latn,,
1603:1:8000:3000:1,3000_1,Q11750,,/Lista de Estados soberanos/@por-Latn,,
1603:1:8000:8000,8000,,,/Não categorizado/@por-Latn,,
1603:1:8000:8000:1,8000_1,,,/Coleção de perguntas sobre percepções de comunidade afetada sobre ajuda humanitária/@por-Latn,"Discussão iniciada em https://twitter.com/fititnt/status/1516516585149767683 (comunidade do twitter, requer convite). Exemplos de relatório: https://groundtruthsolutions.org/wp-content/uploads/2021/11/GTS_Haiti_H2H_April_2022_EN.pdf. Outros links: https://reliefweb.int/sites/reliefweb.int/files/resources/acaps_technical_brief_questionnaire_design_july_2016.pdf",
1603:1:8000:8000:2,8000_2,Q162378,,Dictiōnāria dē generibus grammaticīs,,
