qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:484:2:1001,1001,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1001,Aguascalientes,MX01001,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1002,1002,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1002,Asientos,MX01002,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1003,1003,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1003,Calvillo,MX01003,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1004,1004,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1004,Cosío,MX01004,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1005,1005,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1005,Jesús María,MX01005,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1006,1006,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1006,Pabellón de Arteaga,MX01006,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1007,1007,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1007,Rincón de Romos,MX01007,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1008,1008,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1008,San José de Gracia,MX01008,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1009,1009,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1009,Tepezalá,MX01009,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1010,1010,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1010,El Llano,MX01010,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:1011,1011,1603:45:16:484:0,1603:45:16:484:1:1,1603:45:16:484:2:1011,San Francisco de los Romo,MX01011,Aguascalientes,MX01,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:2001,2001,1603:45:16:484:0,1603:45:16:484:1:2,1603:45:16:484:2:2001,Ensenada,MX02001,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:2002,2002,1603:45:16:484:0,1603:45:16:484:1:2,1603:45:16:484:2:2002,Mexicali,MX02002,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:2003,2003,1603:45:16:484:0,1603:45:16:484:1:2,1603:45:16:484:2:2003,Tecate,MX02003,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:2004,2004,1603:45:16:484:0,1603:45:16:484:1:2,1603:45:16:484:2:2004,Tijuana,MX02004,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:2005,2005,1603:45:16:484:0,1603:45:16:484:1:2,1603:45:16:484:2:2005,Playas de Rosarito,MX02005,Baja California,MX02,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:3001,3001,1603:45:16:484:0,1603:45:16:484:1:3,1603:45:16:484:2:3001,Comondú,MX03001,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:3002,3002,1603:45:16:484:0,1603:45:16:484:1:3,1603:45:16:484:2:3002,Mulegé,MX03002,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:3003,3003,1603:45:16:484:0,1603:45:16:484:1:3,1603:45:16:484:2:3003,La Paz,MX03003,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:3008,3008,1603:45:16:484:0,1603:45:16:484:1:3,1603:45:16:484:2:3008,Los Cabos,MX03008,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:3009,3009,1603:45:16:484:0,1603:45:16:484:1:3,1603:45:16:484:2:3009,Loreto,MX03009,Baja California Sur,MX03,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4001,4001,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4001,Calkiní,MX04001,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4002,4002,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4002,Campeche,MX04002,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4003,4003,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4003,Carmen,MX04003,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4004,4004,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4004,Champotón,MX04004,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4005,4005,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4005,Hecelchakán,MX04005,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4006,4006,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4006,Hopelchén,MX04006,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4007,4007,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4007,Palizada,MX04007,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4008,4008,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4008,Tenabo,MX04008,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4009,4009,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4009,Escárcega,MX04009,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4010,4010,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4010,Calakmul,MX04010,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:4011,4011,1603:45:16:484:0,1603:45:16:484:1:4,1603:45:16:484:2:4011,Candelaria,MX04011,Campeche,MX04,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5001,5001,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5001,Abasolo,MX05001,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5002,5002,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5002,Acuña,MX05002,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5003,5003,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5003,Allende,MX05003,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5004,5004,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5004,Arteaga,MX05004,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5005,5005,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5005,Candela,MX05005,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5006,5006,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5006,Castaños,MX05006,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5007,5007,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5007,Cuatro Ciénegas,MX05007,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5008,5008,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5008,Escobedo,MX05008,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5009,5009,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5009,Francisco I. Madero,MX05009,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5010,5010,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5010,Frontera,MX05010,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5011,5011,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5011,General Cepeda,MX05011,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5012,5012,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5012,Guerrero,MX05012,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5013,5013,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5013,Hidalgo,MX05013,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:2:5014,5014,1603:45:16:484:0,1603:45:16:484:1:5,1603:45:16:484:2:5014,Jiménez,MX05014,Coahuila de Zaragoza,MX05,México,MX,2020-06-23,2021-06-23,
