qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:148:1:1,1,1603:45:16:148:0,1603:45:16:148:1:1,Batha,TD01,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:2,2,1603:45:16:148:0,1603:45:16:148:1:2,Borkou,TD02,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:3,3,1603:45:16:148:0,1603:45:16:148:1:3,Chari-Baguirmi,TD03,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:4,4,1603:45:16:148:0,1603:45:16:148:1:4,Guéra,TD04,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:5,5,1603:45:16:148:0,1603:45:16:148:1:5,Hadjer-Lamis,TD05,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:6,6,1603:45:16:148:0,1603:45:16:148:1:6,Kanem,TD06,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:7,7,1603:45:16:148:0,1603:45:16:148:1:7,Lac,TD07,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:8,8,1603:45:16:148:0,1603:45:16:148:1:8,Logone Occidental,TD08,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:9,9,1603:45:16:148:0,1603:45:16:148:1:9,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:10,10,1603:45:16:148:0,1603:45:16:148:1:10,Mandoul,TD10,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:11,11,1603:45:16:148:0,1603:45:16:148:1:11,Mayo-Kebbi Est,TD11,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:12,12,1603:45:16:148:0,1603:45:16:148:1:12,Mayo-Kebbi Ouest,TD12,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:13,13,1603:45:16:148:0,1603:45:16:148:1:13,Moyen-Chari,TD13,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:14,14,1603:45:16:148:0,1603:45:16:148:1:14,Ouaddaï,TD14,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:15,15,1603:45:16:148:0,1603:45:16:148:1:15,Salamat,TD15,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:16,16,1603:45:16:148:0,1603:45:16:148:1:16,Tandjilé,TD16,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:17,17,1603:45:16:148:0,1603:45:16:148:1:17,Wadi Fira,TD17,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:18,18,1603:45:16:148:0,1603:45:16:148:1:18,N'Djamena,TD18,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:19,19,1603:45:16:148:0,1603:45:16:148:1:19,Barh-El-Gazel,TD19,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:20,20,1603:45:16:148:0,1603:45:16:148:1:20,Ennedi Est,TD20,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:21,21,1603:45:16:148:0,1603:45:16:148:1:21,Sila,TD21,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:22,22,1603:45:16:148:0,1603:45:16:148:1:22,Tibesti,TD22,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:23,23,1603:45:16:148:0,1603:45:16:148:1:23,Ennedi Ouest,TD23,Tchad,TD,2016-07-01,2021-09-24,
