#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_lat+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip1323,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_hxlvoc,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx,#item+rem+i_mul+is_zyyy,#item+rem+i_ara+is_arab,#item+rem+i_ben+is_beng,#item+rem+i_grc+is_grek,#item+rem+i_lat+is_latn,#item+rem+i_rus+is_cyrl,#item+rem+i_san+is_zzzz,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zzzz,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zzzz,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
1603:25:1:0:999,0_999,,,partes corporis humani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:25:1:0:1603:1:7:2616:50,0_1603_1_7_2616_50,11,11,,,,,,Multiplicēs scrīptōribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:25:1:0:1603:1:7:2616:123,0_1603_1_7_2616_123,11,11,,,,,,EticaAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:25:1:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,11,11,,,,,,CC-PDDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:25:1:0:1603:1:7:2616:577,0_1603_1_7_2616_577,11,11,,,,,,2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:25:1:0:1603:1:7:2616:854,0_1603_1_7_2616_854,11,11,,,,,,https://github.com/EticaAI/multilingual-lexicography/issues/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:25:1:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,11,11,,,,,,"This Numerodinatio namespace contains dictionaries related to general human body parts. Latin (while a natural language) actually is used as interlingual code. It's mostly based on Basle Nomina Anatomica 1895 (""BNA1895"") and, if any difference, archaic terms are replaced with Terminologia Anatomica 95 (""TA95"").\n\nCompared to BNA1895 and TA95, 1603:25:1 is a very small subset, mostly a map to external body parts.\n\nAll work on the main concept tables is manually compiled and reviewed by EticaAI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:25:1:1,1,60,60,caput,Q3409626,A01.1.00.001,ix_n1603n25n1caput,v_n1603_25_1_caput,,Q3409626,,,رأس الإنسان,মানুষের মাথা,,caput humanum,голова человека,शिरः,cabeça humana,human head,tête humaine,menselijk hoofd,kopf des menschen,cabeza humana,testa umana,,människohuvud,,,głowa człowieka,,,đầu người,cap humà,голова людини,,,,menneskehode,hlava,menneskehovede,ヒトの頭,menneskehovud,,,سر انسان,emberi fej,,pen dynol,,,homa kapo,kepala manusia,,,capite human,,,,,
1603:25:1:1:1,1_1,60,19,sinciput,Q41055,A01.1.00.002,ix_n1603n25n1sinciput,v_n1603_25_1_sinciput,,Q41055,,,جبهة,,,sinciput,лоб,ललाटम्,testa,forehead,front,voorhoofd,stirn,frente,fronte,éadan,panna,,,czoło,otsa,frunte,trán,front,чоло,чело,,agtáng,panne,čelo,pande,額,panne,നെറ്റി,dahi,پیشانی,homlok,bekoki,talcen,testa,čelo,frunto,dahi,laup,čelo,,,,,,
1603:25:1:1:2,1_2,60,19,occiput,Q3321315,A01.1.00.003,ix_n1603n25n1occiput,v_n1603_25_1_occiput,,Q3321315,,,مؤخر الرأس,,,occiput,,,occipício,occiput,occiput,,occiput,occipucio,occipite,,,,,potylica,takaraivo,,,occípit,,,,,,,,後頭部,bakhovud,,,,,okzipuzio,,occipicio,,,,,,,,,,,
1603:25:1:2,2,60,60,collum,,,ix_n1603n25n1collum,v_n1603_25_1_collum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:25:1:3,3,60,60,truncus,Q160695,A01.1.00.013,ix_n1603n25n1truncus,v_n1603_25_1_truncus,,Q160695,,,جذع,,,truncus,туловище,,tronco,torso,tronc,romp,rumpf,tronco,tronco,tóracs,torso,,,tułów,torso,trunchi,thân mình,tronc,тулуб,туловище,torzo,,torso,trup,torso,胴体,truncus,,trunkus,تنه,torzó,gorputz-enbor,,tronco,trup,torso,,kere,torzo,,,,,,
1603:25:1:3:1,3_1,60,19,thorax,Q9645,A01.1.00.014,ix_n1603n25n1thorax,v_n1603_25_1_thorax,,Q9645,,,صدر,বক্ষ,,pectus,торакс,वक्षःस्थलम्,peito,thorax,torse,borstkas,brust,torso,petto,cliabhrach,bröst,,,klatka piersiowa,rinta,,ngực,tors,грудна клітка,гръден кош,prsni koš,dughán,bryst,hrudník,brystkasse,胸,bryst,,dada,سینه,mellkas,torax,thoracs,peito,hrudník,brusto,dada,rind,prsni koš,,,,,,
1603:25:1:3:2,3_2,60,19,abdomen,Q9597,A01.1.00.016,ix_n1603n25n1abdomen,v_n1603_25_1_abdomen,,Q9597,,,بطن,উদর,,abdomen,живот,नाभिः,abdómen,abdomen,abdomen,buik,abdomen,abdomen,addome,abdóman,buken,,abdomeni,brzuch,vatsa,abdomen,bụng,abdomen,живіт,корем,trebuh,puson,abdomen,břicho,bughule,腹,abdomen,,abdomen,شکم,has,abdomen,abdomen,abdome,brucho (stavovce),ventro,Abdomen,kõht,trbuh,abdomine,,,,,
1603:25:1:3:3,3_3,60,19,pelvis,Q713102,A01.1.00.017,ix_n1603n25n1pelvis,v_n1603_25_1_pelvis,,Q713102,,,حوض,শ্রোণিচক্র,,pelvis,таз,,bacia,pelvis,bassin,bekken,becken,pelvis,bacino,peilbheas,bäcken,,legeni i njeriut,kość miedniczna,lantio,pelvis,khung chậu,pelvis,таз,таз,medenica,pelvis,bekken,pánev,bækken,骨盤,bekken,,pelvis,لگن خاصره,csontos medence,pelbis,pelfis,pelve,panva,pelvo,Pelvis,vaagen,zdjelica,,,,,,
1603:25:1:3:4,3_4,60,19,dorsum,Q133279,A01.1.00.018,ix_n1603n25n1dorsum,v_n1603_25_1_dorsum,,Q133279,,,ظهر,,,dorsum,спина,पृष्ठभागः,costas,back,dos,rug,rücken,espalda,schiena,,rygg,,,plecy,selkä,spate,lưng người,esquena,спина,гръб,,bungkog,rygg,záda,ryg,背中,rygg,,punggung,پشت انسان,,bizkar,cefn,costas,,dorso,,selg,leđa,,,,,,
1603:25:1:4,4,60,50,extremitates,,,ix_n1603n25n1extremitates,v_n1603_25_1_extremitates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
