#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_eng+is_latn,#adm3+name+i_fra+is_latn,#adm3+name+i_kin+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm3+name+alt1+i_kin+is_latn,#adm3+name+alt2+i_kin+is_latn,#adm2+name+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_kin+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_kin+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_kin+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:646:3:1101,1101,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1101,Gitega,,,RW1101,,,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1102,1102,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1102,Kanyinya,,,RW1102,,,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1103,1103,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1103,Kigali,,,RW1103,,,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1104,1104,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1104,Kimisagara,,,RW1104,,,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1105,1105,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1105,Mageregere,,,RW1105,,Mageragere,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1106,1106,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1106,Muhima,,,RW1106,,,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1107,1107,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1107,Nyakabanda,,,RW1107,,,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1108,1108,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1108,Nyamirambo,,,RW1108,,,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1109,1109,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1109,Nyarugenge,,,RW1109,,,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1110,1110,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,1603:45:16:646:3:1110,Rwezamenyo,,,RW1110,,,,,,,,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1201,1201,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1201,Bumbogo,,,RW1201,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1202,1202,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1202,Gatsata,,,RW1202,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1203,1203,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1203,Gikomero,,,RW1203,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1204,1204,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1204,Gisozi,,,RW1204,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1205,1205,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1205,Jabana,,,RW1205,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1206,1206,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1206,Jali,,,RW1206,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1207,1207,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1207,Kacyiru,,,RW1207,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1208,1208,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1208,Kimihurura,,,RW1208,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1209,1209,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1209,Kimironko,,,RW1209,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1210,1210,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1210,Kinyinya,,,RW1210,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1211,1211,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1211,Ndera,,,RW1211,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1212,1212,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1212,Nduba,,,RW1212,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1213,1213,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1213,Remera,,,RW1213,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1214,1214,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1214,Rusororo,,,RW1214,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1215,1215,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,1603:45:16:646:3:1215,Rutunga,,,RW1215,,,,,,,,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1301,1301,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1301,Gahanga,,,RW1301,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1302,1302,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1302,Gatenga,,,RW1302,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:3:1303,1303,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,1603:45:16:646:3:1303,Gikondo,,,RW1303,,,,,,,,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
