Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Wikidata QID,"Wikidata QID, meta",Multiple languages,"Multiple languages, meta",HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#meta+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#meta+rem+i_qcc+is_zxxx+ix_hxl,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
0_1603_1_7_2616_50,,,,,,,,,EticaAI,
0_1603_1_7_2616_123,,,,,,,,,EticaAI,
0_1603_1_7_2616_2479,,,,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal
0_1603_1_7_2616_577,,,,,,,,,2022-04-20,
0_1603_1_7_2616_7535,,,,,,,,,"This group contains concepts related to humanitarian relief when done by individuais. It is REQUIRED that the individual is from an organization, either as volunteer or as part of the job, which has a code or conduct compatible with Red Cross and Red Crescent Movement. This is the more generic type of what is considered _humanitarian_, but still an _strict_ type of humanitarian. This differentiation is likely to be more clear as more dictionaries for individuais are created.",
1,,,Q826745,,"fiat lux, 1603_63_1!",,,,,
17,,,,,/Wikidata QIDs/,,,,,
17_775858,,,Q775858,,/humanitarianism/,,,,,
17_826745,,,Q826745,,/humanitarian aid/,,,,,
