qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:630:1:54,54,1603:45:16:630:0,1603:45:16:630:1:54,Naranjito,PR54,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:55,55,1603:45:16:630:0,1603:45:16:630:1:55,Orocovis,PR55,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:56,56,1603:45:16:630:0,1603:45:16:630:1:56,Patillas,PR56,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:57,57,1603:45:16:630:0,1603:45:16:630:1:57,Peñuelas,PR57,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:58,58,1603:45:16:630:0,1603:45:16:630:1:58,Ponce,PR58,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:59,59,1603:45:16:630:0,1603:45:16:630:1:59,Quebradillas,PR59,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:60,60,1603:45:16:630:0,1603:45:16:630:1:60,Rincón,PR60,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:61,61,1603:45:16:630:0,1603:45:16:630:1:61,Río Grande,PR61,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:62,62,1603:45:16:630:0,1603:45:16:630:1:62,Sabana Grande,PR62,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:63,63,1603:45:16:630:0,1603:45:16:630:1:63,Salinas,PR63,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:64,64,1603:45:16:630:0,1603:45:16:630:1:64,San Germán,PR64,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:65,65,1603:45:16:630:0,1603:45:16:630:1:65,San Juan,PR65,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:66,66,1603:45:16:630:0,1603:45:16:630:1:66,San Lorenzo,PR66,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:67,67,1603:45:16:630:0,1603:45:16:630:1:67,San Sebastián,PR67,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:68,68,1603:45:16:630:0,1603:45:16:630:1:68,Santa Isabel,PR68,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:69,69,1603:45:16:630:0,1603:45:16:630:1:69,Toa Alta,PR69,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:70,70,1603:45:16:630:0,1603:45:16:630:1:70,Toa Baja,PR70,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:71,71,1603:45:16:630:0,1603:45:16:630:1:71,Trujillo Alto,PR71,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:72,72,1603:45:16:630:0,1603:45:16:630:1:72,Utuado,PR72,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:73,73,1603:45:16:630:0,1603:45:16:630:1:73,Vega Alta,PR73,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:74,74,1603:45:16:630:0,1603:45:16:630:1:74,Vega Baja,PR74,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:75,75,1603:45:16:630:0,1603:45:16:630:1:75,Vieques,PR75,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:76,76,1603:45:16:630:0,1603:45:16:630:1:76,Villalba,PR76,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:77,77,1603:45:16:630:0,1603:45:16:630:1:77,Yabucoa,PR77,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:78,78,1603:45:16:630:0,1603:45:16:630:1:78,Yauco,PR78,Puerto Rico,PR,2017-09-06,2019-11-08,
