Codicem,Unique identifier (Latin script),Multiple languages,Wikidata QID,"Wikidata QID, meta",Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_uid,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
0_999,,/Numerordinatio local concept IDs not stable... yet/@eng-Latn,,,,
1,,//abstractum data schēmae//@lat-Latn,,,,
,,,,,,
2,,//archīvum data typīs//@lat-Latn,,,,
2_1,,/tabular data/@eng-Latn,Q496946,,,
2_1_1,,/delimiter-separated values/,Q3021669,,,
2_1_1_2,csv,/comma-separated values (CSV)/,Q935809,,,
2_1_1_3,tsv,/tab-separated values (TSV)/,Q3513566,,,
,,,,,,
,,,,,,
99,,,,,,
99_1,json,,,,,
99_2,xml,,,,,
99_3,xliff,,,,,
99_4,tbx,,,,,
99_5,(HXL),,https://hxlstandard.org/,,,
99_6,(HXLTM),,https://hxltm.etica.ai/,,,
99_7,(numerordinatio),,https://numerordinatio.etica.ai/,,,
99_8,no1.tm.hxl.csv,/Numerordinatio on HXLTM container/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Ano1.tm.hxl.csv&type=Code&ref=advsearch&l=&l=,,,
99_9_2,no11.tm.hxl.csv,/Numerordinatio on HXLTM container (expanded with terminology translations)/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Ano11.tm.hxl.csv&type=Code&ref=advsearch&l=&l=,,,
99_10,meta.no1.tm.hxl.csv,/Metadata about no1.tm.hxl.csv/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Ameta.hxl.csv&type=Code&ref=advsearch&l=&l=,,,
99_11,meta.tm.hxl.csv,/Metadata about tm.hxl.csv/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Ameta.tm.hxl.csv&type=Code&ref=advsearch&l=&l=,,,
99_12,nnx.tm.hxl.csv,/Metadata about annexes (local namespace)/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Annx.tm.hxl.csv&type=Code&ref=advsearch&l=&l=,,,
