qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:242:2:102,102,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:102,Bua ,FJ102,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:103,103,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,Cakaudrove,FJ103,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:107,107,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:107,Macuata,FJ107,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:201,201,1603:45:16:242:0,1603:45:16:242:1:2,1603:45:16:242:2:201,Ba,FJ201,Western,FJ2,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:208,208,1603:45:16:242:0,1603:45:16:242:1:2,1603:45:16:242:2:208,Nadroga/Navosa,FJ208,Western,FJ2,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:211,211,1603:45:16:242:0,1603:45:16:242:1:2,1603:45:16:242:2:211,Ra,FJ211,Western,FJ2,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:304,304,1603:45:16:242:0,1603:45:16:242:1:3,1603:45:16:242:2:304,Kadavu,FJ304,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:305,305,1603:45:16:242:0,1603:45:16:242:1:3,1603:45:16:242:2:305,Lau,FJ305,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:306,306,1603:45:16:242:0,1603:45:16:242:1:3,1603:45:16:242:2:306,Lomaiviti,FJ306,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:315,315,1603:45:16:242:0,1603:45:16:242:1:3,1603:45:16:242:2:315,Rotuma,FJ315,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:409,409,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:409,Naitasiri,FJ409,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:410,410,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:410,Namosi,FJ410,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:412,412,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:412,Rewa,FJ412,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:413,413,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:413,Serua,FJ413,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:414,414,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:414,Tailevu,FJ414,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
