qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:296:2:101,101,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:101,Banaba,KI101,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:102,102,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:102,Makin,KI102,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:103,103,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:103,Butaritari,KI103,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:104,104,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:104,Marakei,KI104,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:105,105,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:105,Abaiang,KI105,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:106,106,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:106,North Tarawa,KI106,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:107,107,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:107,South Tarawa,KI107,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:108,108,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:108,Maiana,KI108,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:109,109,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:109,Abemama,KI109,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:110,110,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:110,Kuria,KI110,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
