Codicem,Unique identifier (Latin script),Linguae multiplīs (Scrīptum incognitō),Lingua Lusitana (Abecedarium Latinum),"Wikidata QID, meta",Cōdex factō,Cōdex factō; meta,h,i,j,k,l,m,n,o
#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_uid,#item+rem+i_mul+is_zyyy,#item+rem+i_por+is_latn,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto,,,,,,,,
0_1603_1_7_2616_98,,,,,EticaAI,,,,,,,,,
0_1603_1_7_2616_577,,,,,2022-04-21,,,,,,,,,
0_1603_1_7_2616_859,,,,,pro bonō publicō,,,,,,,,,
0_1603_1_7_2616_2479,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal,,,,,,,,
0_1603_1_7_2616_7535,,,,,//Guia rápido de lexicografia para colaboradores//@por-Latn,,,,,,,,,
1,,/introdução/@por-Latn,,,,,,,,,,,,
1_1,,pro bonō publicō,"Nosso trabalho é pro bonō publicō e, exceto quando realmente for inviável, o resultado da lexicografia (que, apesar de toda automação, é criativo) é licenciado em domínio público. Tal decisão é feita maximizando o impacto de colaboradores de todas as etapas de dicionários.",,,,,,,,,,,
1_2,,/aliviar o sofrimento humano/@por-Latn,"A _ação humanitária_ é uma ética urgente e limitada de proteção e assistência in extremis. Não é a estritamente equivalente à _direitos humanos_, nem a mesma coisa que _ajuda ao desenvolvimento_, nem ações de _manutenção_ de paz ou de _construção de paz_. Mesmo que decisão sobre necessidade de dicionários seja inspirada em um público-alvo ou genérica de uma área de conhecimento, é inviável prever se apenas aquele público tem tal necessidade antes de dicionários já existirem.",,,,,,,,,,,
1_3,,/lexicografia também envolve empirismo/@por-Latn,"Lexicografia prática é sobre compilar (sentido: reunir de diversas fontes) dicionários que atendem necessidades dos usuários. A maioria dos dicionários tradicionais são evoluções de trabalhos de séculos atrás: existe alguma referência do que melhorar. Mas o processo de criação de qualquer dicionário realmente novo, não apenas é um evento raro, mas necessariamente um processo empírico.",,,,,,,,,,,
