Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Wikidata QID,"Wikidata QID, meta",Multiple languages,"Multiple languages, meta",Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#meta+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
0_1603_1_7_2616_98,,,,,,,EticaAI,
0_1603_1_7_2616_2479,,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal
0_1603_1_7_2616_577,,,,,,,2022-04-03,
0_1603_1_7_2616_655,,,,,,,Vicidata,
0_1603_1_7_2616_859,,,,,,,pro bonō publicō,
0_1603_1_7_2616_7535,,,,,,,/Code golf/@eng-Latn,
1,,,Q283,,aqua,,,
2,,,Q2095,,alimentum,,,
3,,,Q12140,,medicamentum pharmaceuticum,,,
