,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#item+conceptum+codicem,#item+rem+i_ara+is_arab,#item+rem+i_hye+is_armn,#item+rem+i_ben+is_beng,#item+rem+i_rus+is_cyrl,#item+rem+i_hin+is_deva,#item+rem+i_grc+is_grek,#item+rem+i_kan+is_knda,#item+rem+i_kor+is_hang,#item+rem+i_lzh+is_hant,#item+rem+i_heb+is_hebr,#item+rem+i_lat+is_latn,#item+rem+i_tam+is_taml,#item+rem+i_tel+is_telu,#item+rem+i_tha+is_thai,#item+rem+i_san+is_zzzz,#item+rem+i_zho+is_zzzz,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zzzz,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zzzz,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_tur+is_latn,#item+rem+i_nds+is_latn,#item+rem+i_oci+is_latn,#item+rem+i_zho+is_hans,#item+rem+i_bre+is_latn,#item+rem+i_arz+is_latn,#item+rem+i_afr+is_latn,#item+rem+i_ltz+is_latn,#item+rem+i_sco+is_latn,#item+rem+i_bar+is_latn,#item+rem+i_arg+is_latn,#item+rem+i_zho+is_hant,#item+rem+i_pap+is_latn,#item+rem+i_cos+is_latn,#item+rem+i_gsw+is_latn,#item+rem+i_isl+is_latn,#item+rem+i_min+is_latn,#item+rem+i_roh+is_latn,#item+rem+i_vec+is_latn,#item+rem+i_pms+is_latn,#item+rem+i_scn+is_latn,#item+rem+i_srd+is_latn,#item+rem+i_gla+is_latn,#item+rem+i_lim+is_latn,#item+rem+i_wln+is_latn,#item+rem+i_srp+is_latn,#item+rem+i_vls+is_latn,#item+rem+i_nap+is_latn,#item+rem+i_lij+is_latn,#item+rem+i_fur+is_latn,#item+rem+i_pcd+is_latn,#item+rem+i_wol+is_latn,#item+rem+i_kon+is_latn,#item+rem+i_frp+is_latn,#item+rem+i_wuu+is_zyyy,#item+rem+i_srp+is_cyrl,#item+rem+i_urd+is_arab,#item+rem+i_gan+is_zyyy,#item+rem+i_lit+is_latn,#item+rem+i_gan+is_hans,#item+rem+i_hbs+is_latn,#item+rem+i_lav+is_latn,#item+rem+i_bos+is_latn,#item+rem+i_srn+is_latn,#item+rem+i_azb+is_arab,#item+rem+i_jav+is_latn,#item+rem+i_ell+is_grek,#item+rem+i_sun+is_latn,#item+rem+i_fry+is_latn,#item+rem+i_ace+is_latn,#item+rem+i_jam+is_latn,#item+rem+i_che+is_cyrl,#item+rem+i_bel+is_cyrl,#item+rem+i_kab+is_latn,#item+rem+i_fao+is_latn,#item+rem+i_vmf+is_latn,#item+rem+i_bam+is_zzzz,#item+rem+i_frc+is_latn,#item+rem+i_prg+is_latn,#item+rem+i_lmo+is_latn,#item+rem+i_mar+is_deva,#item+rem+i_vol+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
Q152,سمك,ձկներ,মাছ,рыбы,मछली,ἰχθύς,ಮೀನು,물고기,魚,דג,Piscis,மீன்,చేప,ปลา,मत्स्याः,魚,peixe,fish,poisson,vissen,Fisch,pez,pesce,iasc,fisk,Isda,Peshku,ryba,kala,pește,cá,peix,риби,риба,Ribe,Isda,fisk,ryby,fisk,魚類,fisk,മത്സ്യം,ikan,ماهی,halak,arrain,pysgodyn,peixe,Ryby,fiŝo,ikan,kala,Ribe,balık,Fisch,Peis,,pesk,سمك,Vis,Fësch,fish,Fiisch,Pisces,魚,piská,pesciu,Fisch,Fiskur,Ikan,pesch,Pesi,,Pisci,pische,Iasg,vèsse,Pexhon,,Visschn,Pisce,,pes,Pichon,jën,,Pêsson,鱼,рибе,مچھلی,魚,Žuvys,,Riba,zivis,Ribe,Fisi,بالیقلار,Iwak,Ψάρι,Lauk,fisk,Eungkôt,Fish,чӏара,рыбы,Aslem,Fiskur,,djegè,,,Pès,मासा,fit,pisce,,inhlanzi,,,
Q283,ماء,ջուր,পানি,вода,जल,,ನೀರು,물,水,מים,aqua,நீர்,నీరు,น้ำ,जलम्,水,água,water,eau,water,Wasser,agua,acqua,uisce,vatten,tubig,uji,woda,vesi,apă,nước,aigua,вода,вода,voda,tubig,vann,voda,vand,水,vatn,ജലം,air,آب,víz,ura,dŵr,auga,voda,akvo,air,vesi,voda,su,Water,aiga,,dour,ميه,water,Waasser,watter,Wossa,augua,水,awa,acqua,Wasser,vatn,aia,,àcua,eva,acqua,aba,uisge,water,,,woater,acqua,ægoa,aghe,Ieu,ndox,maza,,水,вода,پانی,水,vanduo,,voda,ūdens,voda,,سو,banyu,νερό,cai,wetter,ie,waata,хи,вада,aman,vatn,,Ji,,,aqua,पाणी,vat,aqua,aqua,amanzi,,,
Q5113,طائر,թռչուններ,পাখি,птица,पक्षी,,ಪಕ್ಷಿ,새,鳥,עופות,Aves,பறவை,పక్షి,นก,पक्षिणः,鸟纲,ave,bird,oiseau,vogel,Vögel,aves,uccello,éan,fåglar,langgam,zog,ptaki,linnut,pasăre,chim,ocell,птахи,птици,ptiči,Tamsi,fugler,ptáci,fugle,鳥類,fuglar,പക്ഷി,burung,پرنده,madarak,hegazti,aderyn,aves,Vtáky,birdoj,burung,linnud,ptice,kuş,Vagels,ausèl,,evn,طير,voël,Vullen,birds,Fegl,Aves,鳥綱,,,Vögel,fugl,buruang,utschels,ozeło,Osej,aceddu,Aves,eun,veugel,Oujhea,,Veugel,auciello,Aves,,oizo,,,usél,鸟,птица,پرندہ,雀仔,paukščiai,,ptica,putni,ptice,,قوش,manuk,Πτηνά,Manuk,fûgels,Cicém,Bod,olhazarş,птушкі,Afrux,fuglur,,,,,,पक्षी,Böds,aves,,,,,
Q5840,ورق المرحاض,Զուգարանի թուղթ,,туалетная бумага,शौच पत्र,,,휴지,,נייר טואלט,Charta hygienica,கழிவறை துடைத்தாள்,,กระดาษชำระ,,卫生纸,papel higiénico,toilet paper,papier toilette,toiletpapier,Toilettenpapier,papel higiénico,carta igienica,Páipéar leithris,toalettpapper,,,papier toaletowy,vessapaperi,hârtie igienică,Giấy vệ sinh,paper higiènic,туалетний папір,Тоалетна хартия,toaletni papir,Papel nga pankasilyas,toalettpapir,toaletní papír,toiletpapir,トイレットペーパー,Toalettpapir,,Tisu toilet,دستمال توالت,WC-papír,komuneko paper,,,toaletný papier,neceseja papero,Kertas tandas,tualettpaber,toaletni papir,Tuvalet kağıdı,,,,Paper-revr,,,Toilettëpabeier,,Toiletenbabia,,衛生紙,,,Gloobabyyr,,,,,,,,,,,,,,,,,,,,卫生纸,Тоалетни папир,,,Tualetinis popierius,,Toaletni papir,,,,,,Χαρτί υγείας,,,,,,Туалетная папера,,,,,,,,,,,,,,,
Q7377,ثدييات,կաթնասուններ,স্তন্যপায়ী,млекопитающие,स्तनधारी,,ಸಸ್ತನಿ,포유류,,יונקים,Mammalia,பாலூட்டி,క్షీరదాలు,สัตว์เลี้ยงลูกด้วยน้ำนม,सस्तनः,哺乳動物,mamíferos,mammal,mammifères,zoogdieren,Säugetiere,mamíferos,mammiferi,mamach,däggdjur,Mamipero,Gjitarët,ssaki,nisäkkäät,mamifer,lớp Thú,mamífers,ссавці,бозайници,Sesalci,Mamalya,pattedyr,savci,Pattedyr,哺乳類,pattedyr,സസ്തനി,mamalia,پستانداران,emlős,ugaztun,mamal,Mamíferos,Cicavce,Mamuloj,mamalia,imetajad,Sisavci,memeliler,Söögdeerten,Mamifèrs,,bronneged,ثدييات,soogdier,Mamendéieren,Mammal,Spofiecha,mammalia,哺乳綱,,Mammiferu,Süüger,Spendýr,Binatang manyusuan,Mammals,Mamìfari,Mamìfer,Mammìfiri,,Mamal,Zoogdiere,Biesse ås tetes,,Zoogbêestn,Mammifere,Mammalia,,,,Nyama ya mabele,mamifèros,哺乳動物,сисари,پستانیہ,,Žinduoliai,,Sisavac,zīdītāji,Sisari,,ممهلیلر,mamalia,θηλαστικό,mamalia,Sûchdieren,,Mamal,,сысуны,Timsiffatin,Súgdjór,,,,,Mamifer,सस्तन प्राणी,Süganim,Mammalia,Mammiferes,,,,
Q11088,داء بطني,Ցելիակիա,,целиакия,सीलिएक रोग,,,실리악 스프루,,צליאק,Morbus coeliacus,குளூட்டன் ஒவ்வாமை,,โรคของซีลิแอ็ก,,乳糜泻,doença celíaca,coeliac disease,maladie cœliaque,Coeliakie,Zöliakie,Celiaquía,celiachia,Galar Céiliach,glutenintolerans,,,Celiakia,keliakia,Celiachie,Bệnh coeliac,celiaquia,целіакія,целиакия,Celiakija,,cøliaki,Celiakie,Cøliaki,セリアック病,cøliaki,Celiac disease,Penyakit seliak,بیماری سلیاک,Lisztérzékenység,gaixotasun zeliako,Clwy'r ceudod,Enfermidade celíaca,Celiakia,Celiakio,Penyakit seliak,Tsöliaakia,Celijakija,Çölyak hastalığı,,Celiaquia,,,,,,,,,,,,,Glútenofnæmi,,,,Seliachìa,,,,,,,,,,,,,,,乳糜泻,целијачна болест,مرض سیلیئک,,,,Celijakija,Celiakija,Celijakija,,,,Κοιλιοκάκη,,,,,,Цэліякія,,,,,,,Celiachia,,,,,,,,
Q11472,ورق,թուղթ,কাগজ,бумага,कागज,,paper,종이,紙,נייר,Charta,கடதாசி,కాగితం,กระดาษ,,纸,papel,paper,papier,papier,Papier,papel,carta,páipéar,papper,,letër,papier,paperi,hârtie,giấy,paper,папір,хартия,Papir,Suratan,papir,papír,papir,紙,papir,കടലാസ്,kertas,کاغذ,papír,paper,papur,papel,papier,papero,kertas,paber,Papir,Kâğıt,Papeer,Papièr,,Paper,ورق,Papier,Pabeier,paper,,Papel,紙,,,Papier,Pappír,Karateh,,carta,,carta,,Pàipear,Pepier,Papî,hartija,,,Papê,,,,,,纸,хартија,کاغذ,紙,Popierius,,Papir,papīrs,Papir,,کاغیذ,Dluwang,χαρτί,Kertas,Papier,,,Кехат,папера,Taferkit,,,,,,Palpée,कागद,,Papiro,Papere,,,,
Q12171,حيض,Դաշտան,রজঃস্রাব,менструация,,,ಮುಟ್ಟು,월경,月經,וסת,Menstruatio,மாதவிடாய்,,ประจำเดือน,,月經,menstruação,menstruation in humans,menstruation,menstruatie,Menstruation,menstruación,mestruazione,Míostrú,menstruation,,,Menstruacja,kuukautiset,Menstruație,kinh nguyệt,menstruació,Менструація,Менструация,Menstruacija,Regla,menstruasjon,menstruace,Menstruation,月経,menstruasjon,ആർത്തവം,Menstruasi,قاعدگی,menstruáció,menstruazio,Mislif,Menstruación,Menštruácia,menstruo,Haid,Menstruatsioon,Mjesečnica,Âdet,Menstruatschoon,Menstruacion,,Amzerioù (merc'hed),,Menstruasie,,,,Menstruación,月經,,,Menstruation,Blæðingar,,,,,,,,,Riveyeures,,,,,,,,,,月经,Менструација,حیض,,Menstruacija,,Menstruacija,Menstruācija,Menstruacija,,,Nggarap sari,έμμηνος ρύση,Kareseban,,,,Менструаци,Менструацыя,,,,,,,,,,Menstruation,Menstruation,,,,
Q12206,السكري,շաքարային դիաբետ,বহুমূত্ররোগ,сахарный диабет,मधुमेह,,ಮಧುಮೇಹ,당뇨병,,סוכרת,diabetes mellitus,நீரிழிவு நோய்,మధుమేహం,เบาหวาน,मधुमेहः,糖尿病,diabetes mellitus,diabetes,diabète sucré,diabetes mellitus,Diabetes mellitus,diabetes mellitus,diabete mellito,diaibéiteas,diabetes,Diabetes mellitus,Diabetes mellitus,cukrzyca,diabetes,diabet zaharat,tiểu đường,diabetis mellitus,цукровий діабет,Захарен диабет,Sladkorna bolezen,Diabetes mellitus,diabetes,diabetes mellitus,sukkersyge,糖尿病,diabetes mellitus,പ്രമേഹം,Diabetes mellitus,مرض قند,cukorbetegség,diabetes mellitus,clefyd siwg,Diabetes mellitus,Diabetes mellitus,diabeto,Penyakit kencing manis,suhkurtõbi,šećerna bolest,diyabet,,diabèta sucrat,,Diabet,مرض السكر,Suikersiekte,Zockerkrankheet,,,Diabetis mellitus,糖尿病,Diabétis Mellitus,,Diabetes mellitus,Sykursýki,Diabetes melitus,,,,,,Tinneas an t-siùcair,Sókkergekrenkdje,,,,,Diabete Mellìo,,,,,,糖尿病,шећерна болест,ذیابیطس,,Cukrinis diabetas,,Dijabetes,cukura diabēts,Diabetes mellitus,sukru,دیابت,Kencing Manis,σακχαρώδης διαβήτης,Diabétes mélitus,,,dayabiitis,Шекаран диабет,цукровы дыябет,,Sukursjúka,,,,,,मधुमेह,,Diabete,,isifo sikashukela,,,
Q18216,أسبرين,Ասպիրին,অ্যাসপিরিন,ацетилсалициловая кислота,एस्पिरिन,,ಆಸ್ಪಿರಿನ್,아스피린,阿司匹靈,אספירין,,ஆஸ்பிரின்,ఆస్పిరిన్,แอสไพริน,,阿司匹林,ácido acetilsalicílico,aspirin,acide acétylsalicylique,acetylsalicylzuur,Acetylsalicylsäure,ácido acetilsalicílico,acido acetilsalicilico,Aspairín,acetylsalicylsyra,,Aspirina,kwas acetylosalicylowy,asetyylisalisyylihappo,aspirină,aspirin,àcid acetilsalicílic,ацетилсаліцилова кислота,Ацетилсалицилова киселина,Aspirin,Aspirin,acetylsalisylsyre,kyselina acetylsalicylová,Acetylsalicylsyre,アセチルサリチル酸,acetylsalisylsyre,ആസ്പിരിൻ,Aspirin,استیلسالیسیلیک اسید,Acetilszalicilsav,Azido azetilsaliziliko,aspirin,Aspirina,Kyselina acetylsalicylová,aspirino,aspirin,Aspiriin,acetilsalicilna kiselina,Aspirin,,aspirina,,,,Aspirien,,Aspirin,,,阿司匹林,,,Acetylsalicylsäure,Asetýlsalisýlsýra,,,àcido acetilsałicìłego,,,,,,Aspirene,,acetylsalicylzuur,,,,,,,,阿司匹林,аспирин,Aspirin,,Aspirinas,,Aspirin,acetilsalicilskābe,Aspirin,,,,ασπιρίνη (ή ακετυλοσαλικυλικό οξύ),Aspirin,,,,,Ацэтылсаліцылавая кіслата,,,,,,,,ॲस्पिरिन,,,,,,,
