#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikip7535,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:63:101:0:1603:1:7:2616:98,0_1603_1_7_2616_98,,,,,,,EticaAI
1603:63:101:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,,CC0-1.0
1603:63:101:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,,2022-02-26
1603:63:101:0:1603:1:7:2616:655,0_1603_1_7_2616_655,,,,,,,Vicidata
1603:63:101:0:1603:1:7:2616:859,0_1603_1_7_2616_859,,,,,,,pro bonō publicō
1603:63:101:0:1603:1:7:2616:854:1,0_1603_1_7_2616_854_1,,,,,,,"https://spherestandards.org/handbook/editions/||/The Sphere Standards references are translated in over 30 languages and, not necessarily on this Cōdex, key terms on their references deserve to be on prioritized dictionaries./@eng-Latn"
1603:63:101:0:1603:1:7:2616:854:2,0_1603_1_7_2616_854_2,,,,,,,"https://www.wfp.org/wfp-food-basket||/The groups <<555>>, <<556>>, <<557>>, <<558>> and <<559>> are inspired (but not strictly equal) to World Food Programme grouping on 2022 described as 'a staple such as wheat flour or rice', 'lentils, chickpeas or other pulses', 'vegetable oil (fortified with vitamin A and D)', 'sugar' and 'iodized salt'. One example of difference WFP: vegetable oil is a subcategory of <<557>>, not the entire section, because _cooking oil_ is commonly a more generic term/@eng-Latn"
1603:63:101:0:1603:1:7:2616:854:3,0_1603_1_7_2616_854_3,,,,,,,"https://www.netflix.com/watch/70112740||The <<9000>> is initially inspired by a calamity response that occurred on 2003-08-19, which is remembered yearly on 19 August as World Humanitarian Day. Sérgio being targeted for things he actually disagreed with is not relevant for the concept collection. However, the fact deaths like this do occur for lack of life-saving equipment and not even any United Nations agencies to this date have multilingual terminology on such items is a clear signal of lack of preparedness for disasters to work with local organizations. "
1603:63:101:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,,"`+//Dictiōnāria basibus dē rēbus vītālibus necessāriīs//+` (literal English translation: _basic dictionaries about necessary vital things_) is a **superficial** compilation of concepts for things (not procedures, nor full implementing guides) which could be _given_ to aid other humans or to whom or what give aid to other humans.\n\nSections 1 to 99, while not concrete things, contain concepts which may be used to decide needs assessment which we do not provide a more specialized dictionary compilation."
1603:63:101:0:1603:1:7:2616:7535:1,0_1603_1_7_2616_7535_1,,,,,,,"This group contains terminology related to a thirsty (want drinking liquid), hunger (need food), need to urinate, menstruation (noun, not verb/adverb) and need to defecate.\n\n*One example of use case*: need to write down the individual need of another human. This is also relevant to cross link with other concepts.\n\nWikidata has more terms than is shown here (including less common). They can be added later."
1603:63:101:0:1603:1:7:2616:7535:2,0_1603_1_7_2616_7535_2,,,,,,,"This group contains terminology for generic acute needs, mostly medical symptoms. It doesn't contain terminology for body parts (which have dedicated dictionaries) but at least terms such as diarrhea and vomiting are useful by themselves.\n\n*Example of use case*:  either data collection with more standard terminology or allow basic freedom for people knowing what is not visible without need of an in person interpreter under urgency."
1603:63:101:0:1603:1:7:2616:7535:3,0_1603_1_7_2616_7535_3,,,,,,,"This section contains concepts for some chronic conditions which already are not allergies or intolerance. This obviously is not a full clinical list, but at least common concepts such as hypertension and diabetes deserve a place."
1603:63:101:0:1603:1:7:2617:9289584,0_1603_1_7_2617_9289584,,,,,,,"Traditional paper dictionaries already are not complete enough to explain how their terms should or should not be used, so it should be no surprise that this one, despite having 100's of translations and machine readable alternatives, are also not intended as a use guide. However, compared to other compilations which can focus on narrow areas, this one in particular is below average of self-sufficiency."
1603:63:101:1,1,,,,/biological needs/@eng-Latn,,,
