#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_eng+is_latn,#item+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_mul+is_zyyy+ix_trivium+ix_iri
1603:1:1:1,1,1603:1,Bootstrapping; suggested base namespace for metadata about your multilingual ontology,,,
1603:1:1:1:1,1_1,1603:1:1,Dataset which gives overview of all namespaces (hint: it's this file),,,
1603:1:1:1:2,1_2,1603:1:2,Concept of number,,,
1603:1:1:1:3,1_3,1603:1:3,Concept of letters and symbols,,,
1603:1:1:1:4,1_4,1603:1:4,Concept of writting system,,,
1603:1:1:1:5,1_5,1603:1:5,Concept of language,,,
1603:1:1:1:20,1_20,1603:1:20,"Concept of number, prebuild tables",,,
1603:1:1:3,3,1603:3,Wikimedia Foundation; suggested base namespace for related queries,[2003] Wikipedia,,
1603:1:1:3:12,3_12,1603:3:12,Wikidata,,,
1603:1:1:3:12:6,3_12_6,1603:3:12:6,"Wikidata P codes (selected properties, manual mappings to HXL et al)",,,
1603:1:1:3:12:16,3_12_16,1603:3:12:16,Wikidata P codes (properties),,,
1603:1:1:3:12:17,3_12_17,1603:3:12:17,Wikidata Q codes,,,
1603:1:1:13,13,1603:13,HXL Standard; suggested base namespace for related queries,[2013-12-01] HXL Standard,,https://www.elrha.org/wp-content/uploads/2017/05/hif-alnap-unocha-exchange-language-case-study-2016-1.pdf
1603:1:1:13:1603,13_1603,1603:13:1603,/HXL replacement maps to other namespaces/@eng-Latn,,,
1603:1:1:13:1603:49,13_1603_49,1603:13:1603:49,/HXL replacement maps to UN m49 from other namespaces/@eng-Latn,,,
1603:1:1:17,17,1603:17,Preview namespace,,,
1603:1:1:17:2,17_2,1603:17:2,Numeric to letter mappings,,,
1603:1:1:17:2:60,17_2_60,1603:17:2:60,Prebuild equivalence betewn number and base 60 custom table used on 1603,,,
1603:1:1:17:17,17_17,1603:17:17,"1603_17_17 deprecated, use 1603_3_12_6",,,
1603:1:1:25,25,1603:25,Medicina,[1025] قانون در طب,,https://archive.org/details/AlQaawnoonFiTTwibb/Al-Qaawnoon%20fi-t-Twibb/mode/2up
1603:1:1:42,42,1603:42,Mīlitāris scientiae,[142] 魏伯陽,,https://archive.org/search.php?query=title%3A%28%E6%AD%A6%E7%B6%93%E7%B8%BD%E8%A6%81%29
1603:1:1:44,44,1603:44,Forēnsis scientiae,,,
1603:1:1:45,45,1603:45,United Nations; suggested base namespace for related queries,,,
1603:1:1:45:16,45_16,1603:45:16,P-Codes (countries replaced with UN m49),,,
1603:1:1:45:16:?,45_16_?,1603:45:16:?,?=[1603:45:49],,,
1603:1:1:45:16:?:0,45_16_?_0,1603:45:16:?:0,Invalid namespace,,,
1603:1:1:45:16:?:1,45_16_?_1,1603:45:16:?:1,Administrative division 1,,,
1603:1:1:45:16:?:2,45_16_?_2,1603:45:16:?:2,Administrative division 2,,,
1603:1:1:45:16:?:3,45_16_?_3,1603:45:16:?:3,Administrative division 3,,,
1603:1:1:45:16:?:4,45_16_?_4,1603:45:16:?:4,Administrative division 4,,,
1603:1:1:45:16:?:5,45_16_?_5,1603:45:16:?:5,Administrative division 5,,,
1603:1:1:45:16:?:6,45_16_?_6,1603:45:16:?:6,Administrative division 6,,,
1603:1:1:45:49,45_49,1603:45:49,UN M49; Standard country or area codes for statistical use (M49),,,
1603:1:1:47,47,1603:47,International Organization for Standardization; suggested base namespace for related queries,[1947-02-23] ISO,,
1603:1:1:87,87,1603:87,Unicode; suggested base namespace for related queries,[1987] Unicode,,
1603:1:1:994,994,1603:994,/dentāle vocābulāriō/,,,
1603:1:1:2600,2600,1603:2600,Multiplication tables,,,
1603:1:1:2600:1,2600_1,1603:2600:1,Pre build tables with equivalence between numeric systems,,,
1603:1:1:2600:2,2600_2,1603:2600:2,Prebuild equivalence betewn number and base 60 custom table used on 1603,,,
