#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_lat+is_latn
1603:1:1,1,metadata about 1603
1603:1:3,3,
1603:1:3_12,3_12,Wikidata
1603:1:13,13,Default namespace to be used for HXL queries
1603:1:13_1603,13_1603,/HXL replacement maps to other namespaces/@eng-Latn
1603:1:13_1603_49,13_1603_49,/HXL replacement maps to UN m49 from other namespaces/@eng-Latn
1603:1:17,17,
1603:1:17_2,17_2,Numeric to letter mappings
1603:1:17_2_60,17_2_60,Prebuild equivalence betewn number and base 60 custom table used on 1603
1603:1:17_17,17_17, 
1603:1:44,44,
1603:1:45,45,Default namespace to be reused for codes released by UN agencies
1603:1:45_16,45_16,P-Codes (countries replaced with UN m49)
1603:1:45_49,45_49,UN m49
1603:1:47,47,Default namespace to be reused for ISO-like queries (most used for internal queries)
1603:1:47_15924,47_15924,ISO 15924
1603:1:87,87,Default namespace to be reused for Unicode-like queries (most used for internal queries)
1603:1:142,142,
1603:1:994,994,/dentāle vocābulāriō/
1603:1:2600,2600,Multiplication tables
1603:1:2600_1,2600_1,Pre build tables with equivalence between numeric systems
1603:1:2600_2,2600_2,Prebuild equivalence betewn number and base 60 custom table used on 1603
