#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:608:2:12800000,12800000,1603:45:16:608:0,1603:45:16:608:1:10000000,1603:45:16:608:2:12800000,Ilocos Norte,PH012800000,,,,Region I,PH010000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:2:12900000,12900000,1603:45:16:608:0,1603:45:16:608:1:10000000,1603:45:16:608:2:12900000,Ilocos Sur,PH012900000,,,,Region I,PH010000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:2:13300000,13300000,1603:45:16:608:0,1603:45:16:608:1:10000000,1603:45:16:608:2:13300000,La Union,PH013300000,,,,Region I,PH010000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:2:15500000,15500000,1603:45:16:608:0,1603:45:16:608:1:10000000,1603:45:16:608:2:15500000,Pangasinan,PH015500000,,,,Region I,PH010000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:2:20900000,20900000,1603:45:16:608:0,1603:45:16:608:1:20000000,1603:45:16:608:2:20900000,Batanes,PH020900000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:2:21500000,21500000,1603:45:16:608:0,1603:45:16:608:1:20000000,1603:45:16:608:2:21500000,Cagayan,PH021500000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:2:23100000,23100000,1603:45:16:608:0,1603:45:16:608:1:20000000,1603:45:16:608:2:23100000,Isabela,PH023100000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:2:25000000,25000000,1603:45:16:608:0,1603:45:16:608:1:20000000,1603:45:16:608:2:25000000,Nueva Vizcaya,PH025000000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:2:25700000,25700000,1603:45:16:608:0,1603:45:16:608:1:20000000,1603:45:16:608:2:25700000,Quirino,PH025700000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:2:30800000,30800000,1603:45:16:608:0,1603:45:16:608:1:30000000,1603:45:16:608:2:30800000,Bataan,PH030800000,,,,Region III,PH030000000,Philippines (the),PH,2018-02-09,2021-12-24,
