qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:478:2:101,101,1603:45:16:478:0,1603:45:16:478:1:1,1603:45:16:478:2:101,Aoujeft,MR0101,Adrar,MR01,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:2:102,102,1603:45:16:478:0,1603:45:16:478:1:1,1603:45:16:478:2:102,Atar,MR0102,Adrar,MR01,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:2:103,103,1603:45:16:478:0,1603:45:16:478:1:1,1603:45:16:478:2:103,Chinguitti,MR0103,Adrar,MR01,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:2:104,104,1603:45:16:478:0,1603:45:16:478:1:1,1603:45:16:478:2:104,Ouadane,MR0104,Adrar,MR01,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:2:201,201,1603:45:16:478:0,1603:45:16:478:1:2,1603:45:16:478:2:201,Barkeol,MR0201,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:2:202,202,1603:45:16:478:0,1603:45:16:478:1:2,1603:45:16:478:2:202,Boumdeid,MR0202,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:2:203,203,1603:45:16:478:0,1603:45:16:478:1:2,1603:45:16:478:2:203,Guerrou,MR0203,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:2:204,204,1603:45:16:478:0,1603:45:16:478:1:2,1603:45:16:478:2:204,Kankossa,MR0204,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:2:205,205,1603:45:16:478:0,1603:45:16:478:1:2,1603:45:16:478:2:205,Kiffa,MR0205,Assaba,MR02,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:2:301,301,1603:45:16:478:0,1603:45:16:478:1:3,1603:45:16:478:2:301,Aleg,MR0301,Brakna,MR03,Mauritania,MR,2017-08-09,2022-03-23,
