qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:710:2:101,101,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:101,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:102,102,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:102,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:103,103,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:103,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:104,104,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:104,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:105,105,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:105,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:191,191,1603:45:16:710:0,1603:45:16:710:1:1,1603:45:16:710:2:191,City of Cape Town,ZA191,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:210,210,1603:45:16:710:0,1603:45:16:710:1:2,1603:45:16:710:2:210,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:212,212,1603:45:16:710:0,1603:45:16:710:1:2,1603:45:16:710:2:212,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:213,213,1603:45:16:710:0,1603:45:16:710:1:2,1603:45:16:710:2:213,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
1603:45:16:710:2:214,214,1603:45:16:710:0,1603:45:16:710:1:2,1603:45:16:710:2:214,Joe Gqabi,ZA214,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
