#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_zxx+is_zmth+ix_wikip,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc,#item+rem+i_zxx+is_latn+ix_hxl
1603:44:142:0:999,0_999,,,Q2140674,v_lat_mortis,
1603:44:142:1,1,inferência final sobre o do caso (balística forense),final inference about the case (forensic ballistics),,,
1603:44:142:1:0,1_0,não está relacionado à arma de fogo,not related to firearm,,,
1603:44:142:1:1,1_1,Ferimento por arma de fogo (qualquer distância),,,v_lat_vulnus_sclopetarium,#indicator+v_lat_vulnus_sclopetarium
1603:44:142:1:1:1,1_1_1,Ferimento por arma de fogo com cano dentro de cavidade natural ou artificial (< 0cm),,,,#indicator+v_lat_vulnus_sclopetarium+intracavitatem
1603:44:142:1:1:2,1_1_2,Ferimento por arma de fogo com cano encostado na pele (=0cm),,,,#indicator+v_lat_vulnus_sclopetarium+contrapellem
1603:44:142:1:1:3,1_1_3,ferimento por arma de fogo de à curta distância (> 0cm),close contact gunshot wound,Q5164849,,#indicator+v_lat_vulnus_sclopetarium+adpellem
1603:44:142:1:1:4,1_1_4,ferimento por arma de fogo de à curta distância (> 0cm),,,,
1603:44:142:1:9,1_9,outra inferência final não especificada,,,,
1603:44:142:10,10,fatos diretamente observáveis sobre o caso,directly observable facts about the case,,,
1603:44:142:10:1,10_1,sinal de Werkgaertner,,,,#indicator+v_lat_vulnus_sclopetarium+signi_werkgaertner
1603:44:142:10:2,10_2,sinal de Benassi,,,,#indicator+v_lat_vulnus_sclopetarium+signi_benassi
1603:44:142:10:3,10_3,câmara de mina de Hoffmann,,,,#indicator+v_lat_vulnus_sclopetarium+signi_hoffmann
1603:44:142:10:4,10_4,sinal de Bonnet,,,,#indicator+v_lat_vulnus_sclopetarium+signi_bonnet
1603:44:142:10:5,10_5,zona de tatuagem,,,,
1603:44:142:10:6,10_6,zona de esfumaçamento,,,,
1603:44:142:10:7,10_7,zona de compressão de gases,,,,
1603:44:142:10:8,10_8,zona de chamuscamento,,,,
