qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:706:2:1101,1101,1603:45:16:706:0,1603:45:16:706:1:11,1603:45:16:706:2:1101,Borama,SO1101,Awdal,SO11,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1102,1102,1603:45:16:706:0,1603:45:16:706:1:11,1603:45:16:706:2:1102,Baki,SO1102,Awdal,SO11,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1103,1103,1603:45:16:706:0,1603:45:16:706:1:11,1603:45:16:706:2:1103,Lughaye,SO1103,Awdal,SO11,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1104,1104,1603:45:16:706:0,1603:45:16:706:1:11,1603:45:16:706:2:1104,Zeylac,SO1104,Awdal,SO11,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1201,1201,1603:45:16:706:0,1603:45:16:706:1:12,1603:45:16:706:2:1201,Hargeysa,SO1201,Woqooyi Galbeed,SO12,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1202,1202,1603:45:16:706:0,1603:45:16:706:1:12,1603:45:16:706:2:1202,Berbera,SO1202,Woqooyi Galbeed,SO12,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1203,1203,1603:45:16:706:0,1603:45:16:706:1:12,1603:45:16:706:2:1203,Gebiley,SO1203,Woqooyi Galbeed,SO12,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1301,1301,1603:45:16:706:0,1603:45:16:706:1:13,1603:45:16:706:2:1301,Burco,SO1301,Togdheer,SO13,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1302,1302,1603:45:16:706:0,1603:45:16:706:1:13,1603:45:16:706:2:1302,Buuhoodle,SO1302,Togdheer,SO13,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1303,1303,1603:45:16:706:0,1603:45:16:706:1:13,1603:45:16:706:2:1303,Owdweyne,SO1303,Togdheer,SO13,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1304,1304,1603:45:16:706:0,1603:45:16:706:1:13,1603:45:16:706:2:1304,Sheikh,SO1304,Togdheer,SO13,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1401,1401,1603:45:16:706:0,1603:45:16:706:1:14,1603:45:16:706:2:1401,Laas Caanood,SO1401,Sool,SO14,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1402,1402,1603:45:16:706:0,1603:45:16:706:1:14,1603:45:16:706:2:1402,Caynabo,SO1402,Sool,SO14,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1403,1403,1603:45:16:706:0,1603:45:16:706:1:14,1603:45:16:706:2:1403,Taleex,SO1403,Sool,SO14,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1404,1404,1603:45:16:706:0,1603:45:16:706:1:14,1603:45:16:706:2:1404,Xudun,SO1404,Sool,SO14,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1501,1501,1603:45:16:706:0,1603:45:16:706:1:15,1603:45:16:706:2:1501,Ceerigaabo,SO1501,Sanaag,SO15,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1502,1502,1603:45:16:706:0,1603:45:16:706:1:15,1603:45:16:706:2:1502,Ceel Afweyn,SO1502,Sanaag,SO15,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1503,1503,1603:45:16:706:0,1603:45:16:706:1:15,1603:45:16:706:2:1503,Laasqoray,SO1503,Sanaag,SO15,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1601,1601,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1601,Bossaso,SO1601,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1602,1602,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1602,Bandarbeyla,SO1602,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1603,1603,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1603,Caluula,SO1603,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1604,1604,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1604,Iskushuban,SO1604,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1605,1605,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1605,Qandala,SO1605,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1606,1606,1603:45:16:706:0,1603:45:16:706:1:16,1603:45:16:706:2:1606,Qardho,SO1606,Bari,SO16,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1701,1701,1603:45:16:706:0,1603:45:16:706:1:17,1603:45:16:706:2:1701,Garoowe,SO1701,Nugaal,SO17,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1702,1702,1603:45:16:706:0,1603:45:16:706:1:17,1603:45:16:706:2:1702,Burtinle,SO1702,Nugaal,SO17,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1703,1703,1603:45:16:706:0,1603:45:16:706:1:17,1603:45:16:706:2:1703,Eyl,SO1703,Nugaal,SO17,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1801,1801,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1801,Gaalkacyo,SO1801,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1802,1802,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1802,Galdogob,SO1802,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1803,1803,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1803,Hobyo,SO1803,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1804,1804,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1804,Jariiban,SO1804,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1805,1805,1603:45:16:706:0,1603:45:16:706:1:18,1603:45:16:706:2:1805,Xarardheere,SO1805,Mudug,SO18,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1901,1901,1603:45:16:706:0,1603:45:16:706:1:19,1603:45:16:706:2:1901,Dhuusamarreeb,SO1901,Galgaduud,SO19,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1902,1902,1603:45:16:706:0,1603:45:16:706:1:19,1603:45:16:706:2:1902,Cabudwaaq,SO1902,Galgaduud,SO19,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1903,1903,1603:45:16:706:0,1603:45:16:706:1:19,1603:45:16:706:2:1903,Cadaado,SO1903,Galgaduud,SO19,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1904,1904,1603:45:16:706:0,1603:45:16:706:1:19,1603:45:16:706:2:1904,Ceel Buur,SO1904,Galgaduud,SO19,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:1905,1905,1603:45:16:706:0,1603:45:16:706:1:19,1603:45:16:706:2:1905,Ceel Dheer,SO1905,Galgaduud,SO19,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2001,2001,1603:45:16:706:0,1603:45:16:706:1:20,1603:45:16:706:2:2001,Belet Weyne,SO2001,Hiraan,SO20,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2002,2002,1603:45:16:706:0,1603:45:16:706:1:20,1603:45:16:706:2:2002,Bulo Burto,SO2002,Hiraan,SO20,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2003,2003,1603:45:16:706:0,1603:45:16:706:1:20,1603:45:16:706:2:2003,Jalalaqsi,SO2003,Hiraan,SO20,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2101,2101,1603:45:16:706:0,1603:45:16:706:1:21,1603:45:16:706:2:2101,Jowhar,SO2101,Middle Shabelle,SO21,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2102,2102,1603:45:16:706:0,1603:45:16:706:1:21,1603:45:16:706:2:2102,Adan Yabaal,SO2102,Middle Shabelle,SO21,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2103,2103,1603:45:16:706:0,1603:45:16:706:1:21,1603:45:16:706:2:2103,Balcad,SO2103,Middle Shabelle,SO21,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2104,2104,1603:45:16:706:0,1603:45:16:706:1:21,1603:45:16:706:2:2104,Cadale,SO2104,Middle Shabelle,SO21,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2201,2201,1603:45:16:706:0,1603:45:16:706:1:22,1603:45:16:706:2:2201,Banadir,SO2201,Banadir,SO22,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2301,2301,1603:45:16:706:0,1603:45:16:706:1:23,1603:45:16:706:2:2301,Marka,SO2301,Lower Shabelle,SO23,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2302,2302,1603:45:16:706:0,1603:45:16:706:1:23,1603:45:16:706:2:2302,Afgooye,SO2302,Lower Shabelle,SO23,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2303,2303,1603:45:16:706:0,1603:45:16:706:1:23,1603:45:16:706:2:2303,Baraawe,SO2303,Lower Shabelle,SO23,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2304,2304,1603:45:16:706:0,1603:45:16:706:1:23,1603:45:16:706:2:2304,Kurtunwaarey,SO2304,Lower Shabelle,SO23,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2305,2305,1603:45:16:706:0,1603:45:16:706:1:23,1603:45:16:706:2:2305,Qoryooley,SO2305,Lower Shabelle,SO23,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2306,2306,1603:45:16:706:0,1603:45:16:706:1:23,1603:45:16:706:2:2306,Sablaale,SO2306,Lower Shabelle,SO23,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2307,2307,1603:45:16:706:0,1603:45:16:706:1:23,1603:45:16:706:2:2307,Wanla Weyn,SO2307,Lower Shabelle,SO23,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2401,2401,1603:45:16:706:0,1603:45:16:706:1:24,1603:45:16:706:2:2401,Baydhaba,SO2401,Bay,SO24,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2402,2402,1603:45:16:706:0,1603:45:16:706:1:24,1603:45:16:706:2:2402,Buur Hakaba,SO2402,Bay,SO24,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2403,2403,1603:45:16:706:0,1603:45:16:706:1:24,1603:45:16:706:2:2403,Diinsoor,SO2403,Bay,SO24,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2404,2404,1603:45:16:706:0,1603:45:16:706:1:24,1603:45:16:706:2:2404,Qansax Dheere,SO2404,Bay,SO24,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2501,2501,1603:45:16:706:0,1603:45:16:706:1:25,1603:45:16:706:2:2501,Xudur,SO2501,Bakool,SO25,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2502,2502,1603:45:16:706:0,1603:45:16:706:1:25,1603:45:16:706:2:2502,Ceel Barde,SO2502,Bakool,SO25,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2503,2503,1603:45:16:706:0,1603:45:16:706:1:25,1603:45:16:706:2:2503,Tayeeglow,SO2503,Bakool,SO25,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2504,2504,1603:45:16:706:0,1603:45:16:706:1:25,1603:45:16:706:2:2504,Waajid,SO2504,Bakool,SO25,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2505,2505,1603:45:16:706:0,1603:45:16:706:1:25,1603:45:16:706:2:2505,Rab Dhuure,SO2505,Bakool,SO25,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2601,2601,1603:45:16:706:0,1603:45:16:706:1:26,1603:45:16:706:2:2601,Garbahaarey,SO2601,Gedo,SO26,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2602,2602,1603:45:16:706:0,1603:45:16:706:1:26,1603:45:16:706:2:2602,Baardheere,SO2602,Gedo,SO26,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2603,2603,1603:45:16:706:0,1603:45:16:706:1:26,1603:45:16:706:2:2603,Belet Xaawo,SO2603,Gedo,SO26,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2604,2604,1603:45:16:706:0,1603:45:16:706:1:26,1603:45:16:706:2:2604,Ceel Waaq,SO2604,Gedo,SO26,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2605,2605,1603:45:16:706:0,1603:45:16:706:1:26,1603:45:16:706:2:2605,Doolow,SO2605,Gedo,SO26,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2606,2606,1603:45:16:706:0,1603:45:16:706:1:26,1603:45:16:706:2:2606,Luuq,SO2606,Gedo,SO26,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2701,2701,1603:45:16:706:0,1603:45:16:706:1:27,1603:45:16:706:2:2701,Bu'aale,SO2701,Middle Juba,SO27,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2702,2702,1603:45:16:706:0,1603:45:16:706:1:27,1603:45:16:706:2:2702,Jilib,SO2702,Middle Juba,SO27,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2703,2703,1603:45:16:706:0,1603:45:16:706:1:27,1603:45:16:706:2:2703,Saakow,SO2703,Middle Juba,SO27,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2801,2801,1603:45:16:706:0,1603:45:16:706:1:28,1603:45:16:706:2:2801,Kismaayo,SO2801,Lower Juba,SO28,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2802,2802,1603:45:16:706:0,1603:45:16:706:1:28,1603:45:16:706:2:2802,Afmadow,SO2802,Lower Juba,SO28,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2803,2803,1603:45:16:706:0,1603:45:16:706:1:28,1603:45:16:706:2:2803,Badhaadhe,SO2803,Lower Juba,SO28,Somalia,SO,2014-06-06,2021-09-30,
1603:45:16:706:2:2804,2804,1603:45:16:706:0,1603:45:16:706:1:28,1603:45:16:706:2:2804,Jamaame,SO2804,Lower Juba,SO28,Somalia,SO,2014-06-06,2021-09-30,
