qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:462:2:1001,1001,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:1002,1002,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:1003,1003,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2004,2004,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2005,2005,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2005,Lhaviyani Atoll,MV002005,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2006,2006,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,Raa Atoll,MV002006,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2007,2007,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,Baa Atoll,MV002007,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:3021,3021,1603:45:16:462:0,1603:45:16:462:1:3,1603:45:16:462:2:3021,Male,MV003021,Male Economic,MV003,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4008,4008,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4008,Alif Uthuru Buri,MV004008,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4009,4009,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4009,Kaafu Atoll,MV004009,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4010,4010,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4010,Vaavu Atoll,MV004010,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4011,4011,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4011,Faafu Atoll,MV004011,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4012,4012,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4012,Dhaal Atoll,MV004012,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4013,4013,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4013,Meemu Atoll,MV004013,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4014,4014,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4014,Thaa Atoll,MV004014,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4015,4015,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4015,Laamu Atoll,MV004015,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4020,4020,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4020,Alif Dhekunu Buri,MV004020,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:5016,5016,1603:45:16:462:0,1603:45:16:462:1:5,1603:45:16:462:2:5016,Gaaf Alif Atoll,MV005016,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:5017,5017,1603:45:16:462:0,1603:45:16:462:1:5,1603:45:16:462:2:5017,Gaaf Dhaal Atoll,MV005017,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:5018,5018,1603:45:16:462:0,1603:45:16:462:1:5,1603:45:16:462:2:5018,Gnaviyani Atoll,MV005018,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:5019,5019,1603:45:16:462:0,1603:45:16:462:1:5,1603:45:16:462:2:5019,Seenu Atoll,MV005019,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
