qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:566:2:1001,1001,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1001,Aba North,NG001001,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1002,1002,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1002,Aba South,NG001002,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1003,1003,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1003,Arochukwu,NG001003,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1004,1004,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1004,Bende,NG001004,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1005,1005,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1005,Ikwuano,NG001005,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1006,1006,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1006,Isiala-Ngwa North,NG001006,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1007,1007,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1007,Isiala-Ngwa South,NG001007,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1008,1008,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1008,Isiukwuato,NG001008,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1009,1009,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1009,Obi Ngwa,NG001009,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1010,1010,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1010,Ohafia,NG001010,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1011,1011,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1011,Osisioma Ngwa,NG001011,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1012,1012,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1012,Ugwunagbo,NG001012,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1013,1013,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1013,Ukwa East,NG001013,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1014,1014,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1014,Ukwa West,NG001014,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1015,1015,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1015,Umuahia North,NG001015,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1016,1016,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1016,Umuahia South,NG001016,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:1017,1017,1603:45:16:566:0,1603:45:16:566:1:1,1603:45:16:566:2:1017,Umu-Nneochi,NG001017,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2001,2001,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2001,Demsa,NG002001,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2002,2002,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2002,Fufore,NG002002,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2003,2003,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2003,Ganye,NG002003,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2004,2004,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2004,Gombi,NG002004,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2005,2005,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2005,Girei,NG002005,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2006,2006,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2006,Guyuk,NG002006,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2007,2007,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2007,Hong,NG002007,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2008,2008,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2008,Jada,NG002008,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2009,2009,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2009,Lamurde,NG002009,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2010,2010,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2010,Madagali,NG002010,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2011,2011,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2011,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2012,2012,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2012,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2013,2013,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2013,Michika,NG002013,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2014,2014,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2014,Mubi North,NG002014,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2015,2015,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2015,Mubi South,NG002015,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2016,2016,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2016,Numan,NG002016,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2017,2017,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2017,Shelleng,NG002017,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2018,2018,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2018,Song,NG002018,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2019,2019,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2019,Toungo,NG002019,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2020,2020,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2020,Yola North,NG002020,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:2021,2021,1603:45:16:566:0,1603:45:16:566:1:2,1603:45:16:566:2:2021,Yola South,NG002021,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:3001,3001,1603:45:16:566:0,1603:45:16:566:1:3,1603:45:16:566:2:3001,Abak,NG003001,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:3002,3002,1603:45:16:566:0,1603:45:16:566:1:3,1603:45:16:566:2:3002,Eastern Obolo,NG003002,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:3003,3003,1603:45:16:566:0,1603:45:16:566:1:3,1603:45:16:566:2:3003,Eket,NG003003,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:3004,3004,1603:45:16:566:0,1603:45:16:566:1:3,1603:45:16:566:2:3004,Esit - Eket,NG003004,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:3005,3005,1603:45:16:566:0,1603:45:16:566:1:3,1603:45:16:566:2:3005,Essien Udim,NG003005,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:3006,3006,1603:45:16:566:0,1603:45:16:566:1:3,1603:45:16:566:2:3006,Etim Ekpo,NG003006,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:3007,3007,1603:45:16:566:0,1603:45:16:566:1:3,1603:45:16:566:2:3007,Etinan,NG003007,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:3008,3008,1603:45:16:566:0,1603:45:16:566:1:3,1603:45:16:566:2:3008,Ibeno,NG003008,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
1603:45:16:566:2:3009,3009,1603:45:16:566:0,1603:45:16:566:1:3,1603:45:16:566:2:3009,Ibesikpo Asutan,NG003009,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
