#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_uid,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:1:101:0:999,0_999,,/Numerordinatio local concept IDs not stable... yet/@eng-Latn,,
1603:1:101:1,1,,//abstractum data schēmae//@lat-Latn,,
1603:1:101:2,2,,//archīvum data typīs//@lat-Latn,,
1603:1:101:2:1,2_1,,/tabular data/@eng-Latn,Q496946,
1603:1:101:2:1:1,2_1_1,,/delimiter-separated values/,Q3021669,
1603:1:101:2:1:1:2,2_1_1_2,csv,/comma-separated values (CSV)/,Q935809,
1603:1:101:2:1:1:3,2_1_1_3,tsv,/tab-separated values (TSV)/,Q3513566,
1603:1:101:99,99,,,,
1603:1:101:99:1,99_1,json,,,
1603:1:101:99:2,99_2,xml,,,
1603:1:101:99:3,99_3,xliff,,,
1603:1:101:99:4,99_4,tbx,,,
1603:1:101:99:5,99_5,(HXL),,https://hxlstandard.org/,
1603:1:101:99:6,99_6,(HXLTM),,https://hxltm.etica.ai/,
1603:1:101:99:7,99_7,(numerordinatio),,https://numerordinatio.etica.ai/,
1603:1:101:99:8,99_8,no1.tm.hxl.csv,/Numerordinatio on HXLTM container/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Ano1.tm.hxl.csv&type=Code&ref=advsearch&l=&l=,
1603:1:101:99:9:2,99_9_2,no11.tm.hxl.csv,/Numerordinatio on HXLTM container (expanded with terminology translations)/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Ano11.tm.hxl.csv&type=Code&ref=advsearch&l=&l=,
1603:1:101:99:10,99_10,meta.no1.tm.hxl.csv,/Metadata about no1.tm.hxl.csv/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Ameta.hxl.csv&type=Code&ref=advsearch&l=&l=,
1603:1:101:99:11,99_11,meta.tm.hxl.csv,/Metadata about tm.hxl.csv/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Ameta.tm.hxl.csv&type=Code&ref=advsearch&l=&l=,
1603:1:101:99:12,99_12,nnx.tm.hxl.csv,/Metadata about annexes (local namespace)/,https://github.com/search?q=repo%3AEticaAI%2Fn-data+extension%3Acsv+filename%3Annx.tm.hxl.csv&type=Code&ref=advsearch&l=&l=,
