Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Wikidata QID,"Wikidata QID, meta",Multiple languages,"Multiple languages, meta",HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#meta+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#meta+rem+i_qcc+is_zxxx+ix_hxl,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
0_1603_1_7_2616_50,,,,,,,,,EticaAI,
0_1603_1_7_2616_123,,,,,,,,,EticaAI,
0_1603_1_7_2616_2479,,,,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal
0_1603_1_7_2616_577,,,,,,,,,2022-04-20,
0_1603_1_7_2616_7535,,,,,,,,,"This is a very strict type of **1603:26:21**. The main difference are the modi operandi : uses own country laws or it's signed international treaties to defend specific cases or reforms on country judicial system. It does not require be an expert, such as lawyers with traditional professional training: can be self-educated individuals. MUST NOT depend on any assistance outside the country, which makes counter arguments such as foreigner support on the country domestic affairs in not as practical as what could occur to generic human rights defenders. Very conservative to avoid break any law or custom while defending changes and even then have well planned reasoning, which allows long term thinking.",
1,,,Q13360790,,"fiat lux, 1603_23_36!",,,,,
17,,,,,/Wikidata QIDs/,,,,,
17_8458,,,Q8458,,/human rights/,,,,,
,,,Q44918,,/rule of law/,,,,,
,,,Q5054606,,/Cause lawyer/,,,,,
,,,Q316254,,/equality before the law/,,,,,
,,,Q22692,,/freedom of speech/,,,,,
,,,Q1757432,,/right to a fair trial/,,,,,
,,,Q4860364,,/barefoot lawyer/,,,,,
