qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:116:2:102,102,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:103,103,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:103,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:104,104,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:104,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:105,105,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:105,Ou Chrov,KH0105,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:106,106,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:106,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:107,107,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:107,Thma Puok,KH0107,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:108,108,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:108,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:109,109,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:109,Malai,KH0109,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:110,110,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:110,Paoy Paet,KH0110,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:201,201,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:201,Banan,KH0201,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:202,202,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:202,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:203,203,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:203,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:204,204,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:204,Bavel,KH0204,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:205,205,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:205,Aek Phnum,KH0205,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:206,206,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:206,Moung Ruessei,KH0206,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:207,207,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:207,Rotonak Mondol,KH0207,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:208,208,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:208,Sangkae,KH0208,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:209,209,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:209,Samlout,KH0209,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:210,210,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:210,Sampov Lun,KH0210,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:211,211,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:211,Phnum Proek,KH0211,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:212,212,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:212,Kamrieng,KH0212,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:213,213,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:213,Koas Krala,KH0213,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:214,214,1603:45:16:116:0,1603:45:16:116:1:2,1603:45:16:116:2:214,Rukh Kiri,KH0214,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:301,301,1603:45:16:116:0,1603:45:16:116:1:3,1603:45:16:116:2:301,Batheay,KH0301,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:302,302,1603:45:16:116:0,1603:45:16:116:1:3,1603:45:16:116:2:302,Chamkar Leu,KH0302,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:303,303,1603:45:16:116:0,1603:45:16:116:1:3,1603:45:16:116:2:303,Cheung Prey,KH0303,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:305,305,1603:45:16:116:0,1603:45:16:116:1:3,1603:45:16:116:2:305,Kampong Cham,KH0305,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:2:306,306,1603:45:16:116:0,1603:45:16:116:1:3,1603:45:16:116:2:306,Kampong Siem,KH0306,Kampong Cham,KH03,Cambodia,KH,2014-10-14,2018-10-16,
