#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_lat+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_qcc+is_zxxx+ix_regulam,#item+rem+i_qcc+is_zxxx+ix_wikip1630,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_hxlvoc,#item+rem+definitionem+i_eng+is_latn,#item+rem+definitionem+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_codexfacto,,
1603:1:7:0:1603:1:7:2616:98,0_1603_1_7_2616_98,11,11,,,,,,,,,,,EticaAI,,
1603:1:7:0:1603:1:7:2616:123,0_1603_1_7_2616_123,11,11,,,,,,,,,,,EticaAI,,
1603:1:7:0:1603:1:7:2616:577,0_1603_1_7_2616_577,11,11,,,,,,,,,,,2022-01-01,,
1603:1:7:0:1603:1:7:2616:859,0_1603_1_7_2616_859,11,11,,,,,,,,,,,pro bonō publicō,,
1603:1:7:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,11,11,,,,,,,,,,,CC0-1.0,,
1603:1:7:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,11,11,,,,,,,,,,,This Numerodinatio namespace contains dictionaries related to bare minimum interlingual concepts used to understand Numerodinatio tables.\n\nThe decision making is mostly based on what is very essential to explain other tables.,,
1603:1:7:1,1,11,11,/Generic numeric namespace/,,,,,,,,,,,,
1603:1:7:1:1,1_1,50,50,Cōdex factō,,,,,,ix_codexfacto,v_codex_facto,,,,,
1603:1:7:1:2,1_2,50,19,Numerordĭnātĭo,,,,,,ix_n1603,v_n1603,a generic strategy of arranging numbers in an taxonomy-like explicit way,uma estratégia genérica de organizar os números de maneira explícita como taxonomia,,,
1603:1:7:1:3,1_3,50,19,Dictiōnāria,,,,,,,,,,,,
1603:1:7:1:4,1_4,50,19,Dictiōnāria necessitātibus,,,,,,ix_dctnrnncssttbs,v_dictionaria_necessitatibus,Dictionaries groups required by this work.,Grupos de dicionários exigidos por este trabalho.,,,
1603:1:7:1:91,1_91,50,19,/Wiki QID/,,,,Q[1-9]\d*,,ix_wikiq,v_wiki_q,"QID (or Q number) is the unique identifier of a data item on Wikidata, comprising the letter ""Q"" followed by one or more digits. It is used to help people and machines understand the difference between items with the same or similar names e.g there are several places in the world called London and many people called James Smith. This number appears next to the name at the top of each Wikidata item.","QID (ou número Q) é o identificador único de um item de dados no Wikidata, composto pela letra ""Q"" seguida por um ou mais dígitos. Ele é usado para ajudar pessoas e máquinas a entender a diferença entre itens com nomes iguais ou semelhantes, por exemplo, existem vários lugares no mundo chamados Londres e muitas pessoas chamadas James Smith. Este número aparece ao lado do nome na parte superior de cada item do Wikidata.",,,
1603:1:7:1:92,1_92,50,19,/Wiki P/,,,,P[1-9]\d*,,ix_wikip,v_wiki_p,"Property (also attribute) describes the data value of a statement and can be thought of as a category of data, for example ""color"" for the data value ""blue"". Properties, when paired with values, form a statement in Wikidata. Properties are also used in qualifiers. Properties have their own pages on Wikidata and are connected to items, resulting in a linked data structure.","Propriedade (ou atributo) descreve o valor de dados de uma instrução e pode ser considerada como uma categoria de dados, por exemplo, ""cor"" para o valor de dados ""azul"". Propriedades, quando combinadas com valores, formam uma declaração no Wikidata. Propriedades também são usadas em qualificadores. As propriedades têm suas próprias páginas no Wikidata e são conectadas a itens, resultando em uma estrutura de dados vinculada.",,,
1603:1:7:1:93,1_93,50,19,/Wiki LID/,,,,,,ix_wikil,v_wiki_l,"LID (or L number) The identifier for a lexeme entity in Wikidata, comprising the letter ""L"" followed by one or more digits.","LID (ou número L) O identificador de uma entidade lexema no Wikidata, compreendendo a letra ""L"" seguida por um ou mais dígitos.",,,
1603:1:7:1:95,1_95,11,19,/rēgulam/,Q185612,,,,,ix_regulam,v_regex,,,,,
1603:1:7:1:96,1_96,50,19,//Cōdex annotātiōnibus internālibus//,,,,,,ix_n1603ia,,Internal annotations of a codex. List of items. Used on 1603_1_1 as undocumented tags to manage how dictionaries are exported,Anotações internas de um códice. Lista de itens. Usado em 1603_1_1 como tags não documentadas para gerenciar como os dicionários são exportados,,,
1603:1:7:1:97,1_97,50,19,//opus papȳrō ex 1603//,,,,,,ix_n1603op,,Worksheet index used on 1603_1_1 as undocumented feature to manage where the main table should be extracted,Índice de planilha usado em 1603_1_1 como recurso não documentado para gerenciar onde a tabela principal deve ser extraída,,,
1603:1:7:1:200,1_200,50,19,"/HXL Standard, hashtag, base tab, or attribute (but not readable header)/",,,,,,ix_hxl,v_hxl,"/HXL Standard, hashtag, base tag, or attribute (except CSV heading, if any)/","/Padrão HXL, hashtag, tag base ou atributo (exceto cabeçalho CSV, se houver)/",,,
1603:1:7:1:201,1_201,50,19,"/HXL Standard, full hashtag/",,,,,,ix_hxlhstg,v_hxl_hashtag,"/HXL Standard, full hashtag/","/HXL Padrão, hashtag completa/",,,
1603:1:7:1:202,1_202,50,19,"/HXL Standard, human readable header (lat: caput)/",,,,,,ix_hxlcpt,v_hxl_caput,"/HXL Standard, CSV heading, if any (/caput/@lat-Latn)/","/Padrão HXL, cabeçalho CSV, se houver (/caput/@lat-Latn)/",,,
1603:1:7:1:203,1_203,50,19,"/HXL Standard, base hashtag only/",,,,,,ix_hxlt,v_hxl_t,"/HXL Standard, base hashtag only/","/Padrão HXL, somente hashtag base/",,,
1603:1:7:1:204,1_204,50,19,"/HXL Standard, attributes only/",,,,,,ix_hxla,v_hxl_a,"/HXL Standard, attributes only/","/Padrão HXL, somente atributos/",,,
1603:1:7:1:205,1_205,50,19,"/Normalized CSV-like header; full header, only prefix or only suffix/",,,,,,ix_csv,v_csv,"/Normalized CSV-like header; full header, or only prefix, or only suffix/","/Cabeçalho tipo CSV normalizado; cabeçalho completo, ou apenas prefixo, ou apenas sufixo/",,,
1603:1:7:1:206,1_206,50,19,/Normalized CSV-like identifier; prefix affinity (lat: praefīxum)/,,,,,,ix_csvprfxu,v_csv_praefixum,/Normalized CSV-like identifier; prefix affinity (/praefīxum/@lat-Latn)/,/Identificador tipo CSV normalizado; afinidade de prefixo (/praefīxum/@lat-Latn)/,,,
1603:1:7:1:207,1_207,50,19,/Normalized CSV-like identifier; suffix affinity (lat: suffīxum)/,,,,,,ix_csvsffxm,v_csv_suffixum,/Normalized CSV-like identifier; suffix affinity (/suffīxum/@lat-Latn)/,/Identificador tipo CSV normalizado; afinidade de sufixo (/suffīxum/@lat-Latn)/,,,
1603:1:7:1:208,1_208,50,19,/GLIDE hazard code/,,,,,,ix_glidehc,,,,,,
1603:1:7:2616,2616,11,11,/Wikidata P local numeric namespace/,,,,,,,,,,,,
1603:1:7:2616:50,2616_50,60,60,scrīptor,,P50,,,,ix_wikip50,v_wiki_p_50,"Main creator(s) of a written work (use on works, not humans)","Principais criadores de uma obra escrita (uso em obras, não em humanos)",,,
1603:1:7:2616:98,2616_98,60,60,/dictiōnārium ēditōrī/,,P98,,,,ix_wikip98,v_wiki_p_98,editor of a compiled work such as a book or a periodical (newspaper or an academic journal),"editor de um trabalho compilado, como um livro ou um periódico (jornal ou revista acadêmica)",,,
1603:1:7:2616:110,2616_110,60,60,pictor,,P110,,,,ix_wikip110,v_wiki_p_110,Person drawing the pictures or taking the photographs in a book,Pessoa que desenhou as ilustrações ou tirou as fotos em um livro,,,
1603:1:7:2616:123,2616_123,60,60,/cōdex pūblicandī/,,P123,,,,ix_wikip123,v_wiki_p_123,"organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software","organização ou pessoa responsável pela publicação de livros, periódicos, música impressa, podcasts, jogos ou software",,,
1603:1:7:2616:393,2616_393,60,60,numerus editionis,,P393,,,,ix_wikip393,v_wiki_p_393,"number of an edition (first, second, ... as 1, 2, ...) or event","número de uma edição (primeira, segunda, ... como 1, 2, ...) ou evento",,,
1603:1:7:2616:487,2616_487,60,60,//unicodex pūnctō//,,P487,,,https://util.unicode.org/UnicodeJsps/character.jsp?a=$1,ix_wikip487,v_wiki_p_487,Unicode character representing the item,Caractere Unicode que representa o item,,,
1603:1:7:2616:577,2616_577,60,60,/publication date/@eng-Latn,,P577,,,,ix_wikip577,v_wiki_p_577,Date or point in time when a work was first published or released,Data ou ponto no tempo em que um trabalho foi publicado ou lançado pela primeira vez,,,
1603:1:7:2616:655,2616_655,60,60,/translator/@eng-Latn,,P655,,,,ix_wikip655,v_wiki_p_655,agent who adapts any kind of written text from one language to another,agente que adapta qualquer tipo de texto escrito de um idioma para outro,,,
1603:1:7:2616:854,2616_854,60,60,/reference URL/@eng-Latn,,P854,,,,ix_wikip854,v_wiki_p_854,should be used for Internet URLs as references,deve ser usado para URLs da Internet como referências,,,
1603:1:7:2616:856,2616_856,60,60,/official website/@eng-Latn,,P856,,,,ix_wikip856,v_wiki_p_856,"URL of the official page of an item (current or former) [if the page changes, add an additional statement with preferred rank. Do not remove the former URL]","URL da página oficial de um item (atual ou anterior) [se a página mudar, adicione uma declaração adicional com classificação preferencial. Não remova o URL anterior]",,,
1603:1:7:2616:859,2616_859,60,60,spōnsor,,P859,,,,ix_wikip859,v_wiki_p_859,organization or individual that sponsors this item,organização ou indivíduo que patrocina este item,,,
1603:1:7:2616:1476,2616_1476,60,60,titulus,,P1476,,,,ix_wikip1476,v_wiki_p_1476,"published name of a work, such as a newspaper article, a literary work, piece of music, a website, or a performance work","nome publicado de uma obra, como um artigo de jornal, uma obra literária, uma peça musical, um site ou uma obra performática",,,
1603:1:7:2616:1323,2616_1323,60,60,Terminologia Anatomica 98 ID,,P1323,,A\d{2}\.\d\.\d{2}\.\d{3}[FM]?,https://wikidata-externalid-url.toolforge.org/?p=1323&url_prefix=https:%2F%2Fwww.unifr.ch%2Fifaa%2FPublic%2FEntryPage%2FTA98%20Tree%2FEntity%20TA98%20EN%2F&url_suffix=%20Entity%20TA98%20EN.htm&id=$1,ix_wikip1323,v_wiki_p_1323,Terminologia Anatomica (1998 edition) human anatomical terminology identifier,Terminologia Anatomica (edição de 1998) identificador de terminologia anatômica humana,,,
