#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_qcc+is_zxxx+ix_n1603ia,#item+rem+i_qcc+is_zxxx+ix_regex,#item+rem+i_qcc+is_zxxx+ix_n1603op,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_mul+is_zyyy+ix_trivium+ix_iri,#item+rem+i_lat+is_latn,#item+rem+i_arb+is_arab,#item+rem+i_rus+is_cyrl,#item+rem+i_ben+is_beng,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:1:1:0:1603:1:7:2616:50,0_1603_1_7_2616_50,11,11,,,,,,,,,,,,,EticaAI
1603:1:1:0:1603:1:7:2616:123,0_1603_1_7_2616_123,11,11,,,,,,,,,,,,,EticaAI
1603:1:1:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,11,11,,,,,,,,,,,,,CC0-1.0
1603:1:1:0:1603:1:7:2616:577,0_1603_1_7_2616_577,11,11,,,,,,,,,,,,,2022-01-01
1603:1:1:0:1603:1:7:2616:859,0_1603_1_7_2616_859,11,,,,,,,,,,,,,,pro bonō publicō
1603:1:1:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,11,,,,,,,,,,,,,,/The global indexof every entry point of group of dictionaries./@eng-Latn
1603:1:1:1,1,70,70,1603:1,,,,,//Meta dictiōnārium//,,,,,,,
1603:1:1:1:1,1_1,60,60,1603:1:1,internale-100|origo_per_amanuenses-100|publicum-10,,,,//Numeroclatura Generālium ad MM ex Numerordĭnātĭo//,,,,,,,
1603:1:1:1:2,1_2,20,20,1603:1:2,,,,,/Dictiōnāria dē symbolī numerīs/,,,/Dictiōnāria dē symbolī numerīs/,,,,
1603:1:1:1:3,1_3,20,20,1603:1:3,,,,,/Dictiōnāria dē symbolī ab systemata scrīpta/,,,/Dictiōnāria dē symbolī ab systemata scrīpta/,,,,
1603:1:1:1:4,1_4,20,20,1603:1:4,,,,,/Dictiōnāria dē systemata scrīpta/,,,/Dictiōnāria dē systemata scrīpta/,,,,
1603:1:1:1:5,1_5,10,10,1603:1:5,,,,,Concept of language,,,,,,,
1603:1:1:1:6,1_6,10,10,1603:1:6,internale-20|publicum-10,,,,/Dictiōnāria dē terminī typīs/,,,,,,,
1603:1:1:1:7,1_7,10,10,1603:1:7,internale-90|publicum-10,,,,//Dictiōnāria basibus dē rēs interlinguīs//,,,,,,,
1603:1:1:1:10,1_10,10,10,1603:1:10,,,,,//(Reserved namespace to document numeric suffixes)//,,,,,,,
1603:1:1:1:13,1_13,10,10,1603:1:13,,,,,,[13] 1603:13 HXL Normae,,,,,,
1603:1:1:1:13:22,1_13_22,10,10,1603:1:13:22,,,,,//Pre-build list of all +v_* attributes on 1603//,[22] V,,,,,,
1603:1:1:1:13:24,1_13_24,10,10,1603:1:13:24,,,,,//Pre-build list of all +ix_* attributes on 1603//,[24] X,,,,,,
1603:1:1:1:20,1_20,50,50,1603:1:20,,,,,"Concept of number, prebuild tables",,,,,,,
1603:1:1:1:51,1_51,50,50,1603:1:51,internale-90|publicum-10,,,,//Dictiōnāria Linguārum//,,,//Dictiōnāria Linguārum ad MMXXII ex Numerordĭnātĭo//,,,,
1603:1:1:1:99,1_99,20,20,1603:1:99,internale-20|publicum-1,,,,Nōtitiae temporāriōrum circā librārium,,,,,,,
1603:1:1:1:101,1_101,50,50,1603:1:101,experimentum-50|internale-20,,,,//Dictiōnāria Archīōrum ad MMXXII ex Numerordĭnātĭo//,,,//Dictiōnāria Archīōrum ad MMXXII ex Numerordĭnātĭo//,,,,
1603:1:1:1:2020,1_2020,50,50,1603:1:2020,internale-100|publicum-10,,,,//Guia rápido de lexicografia para colaboradores//@por-Latn,,,,,,,
1603:1:1:1:8000,1_8000,50,50,1603:1:8000,internale-50|publicum-30,,,,//Dicionários de lista de potenciais futuros dicionários//@por-Latn,,,,,,,
1603:1:1:3,3,50,50,1603:3,,,,Q1093434,Commūnitās scientiae,[2003] Wikipedia,,Commūnitās scientiae,بعلم المواطنين,Гражданская наука,,
1603:1:1:3:12,3_12,50,50,1603:3:12,,,,Q2013,Vicidata,[2012] Wikidata,,Vicidata,,,,
1603:1:1:3:12:6,3_12_6,10,10,1603:3:12:6,,,,Q18616576,//Speciālis collēctiōnī de Vicidata Proprietātī//,[6] (16 - 10) P,,//Speciālis collēctiōnī de Vicidata Proprietātī//,,,,
