Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Wikidata QID,"Wikidata QID, meta",Multiple languages,"Multiple languages, meta",/scope and content/@eng-Latn,"/scope and content/@eng-Latn, metadata",HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#meta+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikip7535,#meta+rem+i_qcc+is_zxxx+ix_wikip7535,#item+rem+i_qcc+is_zxxx+ix_hxlix,#meta+rem+i_qcc+is_zxxx+ix_hxl,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
0_1603_1_7_1_4_1,,,,,,,,,,,[1603:44:86],//Dictiōnāria basibus dē tortūrīs modīs//
0_1603_1_7_2616_50,,,,,,,,,,,EticaAI,
0_1603_1_7_2616_123,,,,,,,,,,,EticaAI,
0_1603_1_7_2616_2479,,,,,,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal
0_1603_1_7_2616_577,,,,,,,,,,,2022-03-12,
0_1603_1_7_2616_854_1,,,,,,,,,,,https://www.youtube.com/watch?v=s_-YueQMLRU||/TODO document/@eng-Latn,
0_1603_1_7_2616_854_2,,,,,,,,,,,https://www.ohchr.org/EN/NewsEvents/Pages/DisplayNews.aspx?NewsID=27756&LangID=E||/TODO document/@eng-Latn,
0_1603_1_7_2616_7535,,,,,,,,,,,"`+//Dictiōnāria basibus de scielus contrā persōnam//+` (literal English translation: _Basic dictionaries about crimes against person_; person on singular) contains basic (id est, not fully detailed) concepts about crimes against humans at mostly at individual level and crimes against group of humans without intent of exterminate entire community (which have e dedicated dictionaries) for non-political reasons.",
100,,,,,"/psychological, generic/@eng-Latn",,,,,,,
100_1,,,Q34284,,/blackmail || coercion based on threat of revealing information/@eng-Latn,,,,,,,
,,,,,,,,,,,,
300,,,Q181784,,"/human trafficking || trade of humans for the purpose of forced labor, sexual slavery, or commercial sexual exploitation for the trafficker or others/@eng-Latn",,,,,,,
,,,Q705818,,/unfree labour || work people are employed in against their will/@eng-Latn,,,,,,,
,,,Q875521,,/sexual slavery || slavery with the intention of using the slaves for sex/@eng-Latn,,,,,,,
,,,Q2667359,,/forced prostitution || is prostitution or sexual slavery that takes place as a result of coercion by a third party/@eng-Latn,,,,,,,
,,,,,,,,,,,,
400,,,Q10737,,/suicide || intentional act of causing one's own death/@eng-Latn,,,,,,,
,,,Q217327,,/suicide attack || attack in which the attacker knows they will die/@eng-Latn,,,,,,,
,,,Q3305388,,/suicide pact || agreement between multiple individuals to commit suicide/@eng-Latn,,,,,,,
,,,Q621076,,/self-immolation || ritualistic and political suicide method/@eng-Latn,,,,,,,
,,,Q4737010,,/altruistic suicide || sacrifice of oneself for some common goal (example: / falling on a grenade)/@eng-Latn,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
500,,,Q149086,,/homicide (generic) || killing of a human being by another human being/@eng-Latn,,/#TODO get more itens from https://en.wikipedia.org/wiki/Template:Homicide#/@eng-Latn,,,,,
500_1,,,Q132821,,/murder || unlawful killing of a human with malice aforethought/@eng-Latn,,,,,,,
500_2,,,Q3882220,,"/manslaughter || crime of killing of a human being by another human being, less serious than murder/@eng-Latn",,/#TODO some languages use _negligent homicide_ and _manslaughter_ as synonymous. Not ideal#/@eng-Latn,,,,,
500_2_1,,,Q1295558,,"/voluntary manslaughter || homicide where the offender had no prior intent to kill and acted during ""the heat of passion""/@eng-Latn",,,,,,,
500_2_2,,,Q118322,,/involuntary manslaughter || unlawful killing of another human with no intent to kill/@eng-Latn,,,,,,,
500_3,,,Q641449,,/negligent homicide || homicide caused by the negligence of another/@eng-Latn,,/#TODO some languages use _negligent homicide_ and _manslaughter_ as synonymous. Not ideal#/@eng-Latn,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
501,,,,,/homicide (killing of family)/@eng-Latn,,/#TODO extract more concepts from https://en.wikipedia.org/wiki/List_of_types_of_killing#/@eng-Latn,,,,,
501_1,,,Q2691275,,"/honor killing || homicide of a member of a family or social group by other members, due to the belief that the victim has brought dishonor upon the family or community/@eng-Latn",,,,,,,
,,,,,,,,,,,,
502,1,1,,,/homicide (killing of family)/@eng-Latn,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
503,,,Q2717573,,/extra-judicial killing || intentional and unlawful killings of individuals by state actors without judicial process/@eng-Latn,,,,,,,
503_1,,,Q1642263,,/targeted killing || form of assassination carried by governments against their perceived enemies/@eng-Latn,,,,,,,
,,,,,,,,,,,,
700,,,,,/sexual and gender-based violence (except killing)/@eng-Latn,,,,,,,
700_1,,,Q558075,,/sexual violence/@eng-Latn,,,,,,,
700_10,,,Q47092,,/rape/@eng-Latn,,/#TODO extract more concepts from https://en.wikipedia.org/wiki/Types_of_rape#/@eng-Latn,,,,,
700_10_1,,,Q1968926,,/statutory rape/@eng-Latn,,,,,,,
700_10_1_1,,,Q1147070,,/child grooming/@eng-Latn,,,,,,,
700_10_2,,,Q23807951,,/unacknowledged rape/@eng-Latn,,,,,,,
700_10_3,1,1,Q7293885,,/rape by deception/@eng-Latn,,,,,,,
700_10_4,,,Q1135287,,/corrective rape || hate crime in which a person is raped because of their perceived sexual or gender orientation/@eng-Latn,,,,,,,
700_10_10,,,Q8192354,,/gang rape/@eng-Latn,,,,,,,
7458798,1,1,Q7458798,,/sexual misconduct/@eng-Latn,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
6875295,1,1,Q6875295,Separar e por esse link aqui https://www.thenewhumanitarian.org/feature/2021/2/11/25-years-of-sexual-exploitation-and-abuse,/misconduct/,,,,,,,
169207,1,1,Q169207,,/discrimination/,,,,,de https://digitallibrary.un.org/record/3827518,,
751722,1,1,Q751722,,/sexual harassment/,,,,,de https://digitallibrary.un.org/record/3827518,,
751722_1975478,1,1,Q1975478,,/abuse of authority/,,,,,,,
3240539,1,1,Q3240539,,/harassment/,,,,,de https://digitallibrary.un.org/record/3827518,,
7458798_47092_26267537,1,1,Q26267537,,/serial rapist/,,,,,,,
7458798_673281,1,1,Q673281,,/sexual assault/,,,,,,,
7458798_5347294,1,1,Q5347294,,/effects and aftermath of rape/,,,,,,,
7458798_5347294_1017877,1,1,Q1017877,,/rape trauma syndrome (RTS)/,,,,,,,
7458798_5347294_7239891,1,1,Q7239891,,/pregnancy from rape/,,,,,,,
7458798_5347294_28134940,1,1,Q28134940,,/post-assault treatment of sexual assault victims/,,,,,,,
7458798_42965351,1,1,Q42965351,,/Weinstein effect/,,,,,,,
9999999,1,1,,,/financial misconduct/,,,,,,,
99999999,1,1,,,//other//,,,,,,,
99999999_5097924,1,1,Q5097924,,/Child sexual abuse by UN peacekeepers/,,,,,,,
30315193,1,1,Q30315193,,/Minnesota Protocol/,,,,,,,
2120363,1,1,Q2120363,,/Istanbul Protocol/,,,,,,,
