qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:694:2:101,101,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:102,102,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:103,103,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:201,201,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:202,202,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:203,203,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:204,204,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:205,205,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:205,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:301,301,1603:45:16:694:0,1603:45:16:694:1:3,1603:45:16:694:2:301,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:302,302,1603:45:16:694:0,1603:45:16:694:1:3,1603:45:16:694:2:302,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:303,303,1603:45:16:694:0,1603:45:16:694:1:3,1603:45:16:694:2:303,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:304,304,1603:45:16:694:0,1603:45:16:694:1:3,1603:45:16:694:2:304,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:401,401,1603:45:16:694:0,1603:45:16:694:1:4,1603:45:16:694:2:401,Western Area Rural,SL0401,Western,SL04,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:402,402,1603:45:16:694:0,1603:45:16:694:1:4,1603:45:16:694:2:402,Western Area Urban,SL0402,Western,SL04,Sierra Leone,SL,2017-08-16,2022-01-04,
