#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:324:3:100101,100101,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100101,Boffa Ctre,GN00100101,Boffa Ctre,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100102,100102,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100102,Douprou,GN00100102,Douprou,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100103,100103,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100103,Koba Tatema,GN00100103,Koba Tatema,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100104,100104,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100104,Kolia,GN00100104,Kolia,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100105,100105,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100105,Lisso,GN00100105,Lisso,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100106,100106,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100106,Mankountan,GN00100106,Mankountan,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100107,100107,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100107,Tamita,GN00100107,Tamita,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100108,100108,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100108,Tougnifily,GN00100108,Tougnifily,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100201,100201,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100201,Bintimodia,GN00100201,Bintimodia,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100202,100202,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100202,Boke Ctre,GN00100202,Boke Ctre,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
