#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:45:19:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,,,EticaAI
1603:45:19:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,,,EticaAI
1603:45:19:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,CC0-1.0
1603:45:19:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,2022-04-22
1603:45:19:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,//Dictiōnāria dē locī generibus//\n\n\nTODO: continue from https://en.wikipedia.org/wiki/List_of_building_types\n\n\nhttps://en.wikipedia.org/wiki/Nonbuilding_structure
1603:45:19:17,17,,,,/Wikidata QIDs/,,
1603:45:19:17:7188,17_7188,,,Q7188,"/government - /system or group of people governing an organized community, often a state/",,
1603:45:19:17:7188:25550691,17_7188_25550691,,,Q25550691,/town hall - chief administrative building of a municipality/,,
1603:45:19:17:7188:7843791,17_7188_7843791,,,Q7843791,/consulate - small official office of one country in another country/,,
1603:45:19:17:7590,17_7590,,,Q7590,/transport - human-directed movement of things or people between locations/,,
1603:45:19:17:7590:5503,17_7590_5503,,,Q5503,/rapid transit - high-capacity public transport generally used in urban areas/,,
1603:45:19:17:7590:55488,17_7590_55488,,,Q55488,/railway station - railway facility where trains regularly stop to load or unload passengers and/or freight/,,
1603:45:19:17:7590:39715,17_7590_39715,,,Q39715,/lighthouse - structure designed to emit light to aid navigation/,,
1603:45:19:17:7590:190928,17_7590_190928,,,Q190928,/shipyard - place where ships are repaired and built/,,
1603:45:19:17:7590:192375,17_7590_192375,,,Q192375,/hangar - closed structure to hold aircraft or spacecraft in protective storage/,,
1603:45:19:17:7590:494829,17_7590_494829,,,Q494829,"/bus station - structure, larger than a bus stop, where city or intercity buses stop to pick up and drop off passengers/",,
1603:45:19:17:7590:1395196,17_7590_1395196,,,Q1395196,/taxicab stand - queue area and pick-up point for taxis/,,
1603:45:19:17:7590:1248784,17_7590_1248784,,,Q1248784,"/airport - location where aircraft take off and land with extended support facilities, mostly for commercial air transport/",,
1603:45:19:17:7590:1777951,17_7590_1777951,,,Q1777951,/boathouse - /building for storage of boats/,,
1603:45:19:17:7590:13218805,17_7590_13218805,,,Q13218805,/multistorey car park - building designed for car parking and where there are a number of floors or levels on which parking takes place/,,
1603:45:19:17:8434,17_8434,,,Q8434,/education - learning in which knowledge and skills are transferred through teaching/,,
1603:45:19:17:8434:3914,17_8434_3914,,,Q3914,/school - institution designed to teach students under the direction of school teacher/,,
1603:45:19:17:8434:3918,17_8434_3918,,,Q3918,/university - academic institution for further education/,,
1603:45:19:17:8434:9842,17_8434_9842,,,Q9842,/primary school - school in which children receive primary or elementary education from the age of about five to twelve/,,
1603:45:19:17:8434:159334,17_8434_159334,,,Q159334,/secondary school - organization where secondary education is provided/,,
1603:45:19:17:8434:160645,17_8434_160645,,,Q160645,/orphanage - residential institution devoted to the care of orphans/,,
1603:45:19:17:8434:189004,17_8434_189004,,,Q189004,/college - higher education institution/,,
1603:45:19:17:8434:1076052,17_8434_1076052,,,Q1076052,/preschool - educational establishment offering early childhood education to children/,,
1603:45:19:17:11451,17_11451,,,Q11451,"/agriculture - cultivation of life forms for food, fiber, biofuel and other products used to sustain life/",,
1603:45:19:17:11451:165044,17_11451_165044,,,Q165044,/greenhouse - building in which plants are grown/,,
1603:45:19:17:11451:213643,17_11451_213643,,,Q213643,/silo - structure for storing bulk materials/,,
1603:45:19:17:11451:489357,17_11451_489357,,,Q489357,"/farmhouse - chief dwellings attached to farms, particularly a dwelling for the family of a family-owned and -operated farm/",,
1603:45:19:17:11451:1303167,17_11451_1303167,,,Q1303167,"/barn - agricultural building used for storage and as a covered workplace, may contain a livestock housing section/",,
1603:45:19:17:11451:1349300,17_11451_1349300,,,Q1349300,"/root cellar - structure, usually underground or partially underground, used for storage of vegetables, fruits, nuts, or other foods/",,
1603:45:19:17:31207,17_31207,,,Q31207,/health care - prevention of disease and promotion of wellbeing/,,
1603:45:19:17:31207:16917,17_31207_16917,,,Q16917,/hospital/,,
1603:45:19:17:31207:210999,17_31207_210999,,,Q210999,/psychiatric hospital - hospital treating serious mental disorders/,,
1603:45:19:17:31207:837142,17_31207_837142,,,Q837142,/nursing home - /type of residential care/,,
1603:45:19:17:31207:1774898,17_31207_1774898,,,Q1774898,"/clinic - health care facility, primarily focused on the care of outpatients/",,
1603:45:19:17:8473,17_8473,,,Q8473,/military - organized body primarily tasked with preparing for and conducting war/,,
1603:45:19:17:8473:57821,17_8473_57821,,,Q57821,/fortification - /military constructions and buildings designed for defense in warfare and military bases/,,
1603:45:19:17:8473:245016,17_8473_245016,,,Q245016,/military base - facility directly owned and operated by or for the military/,,
1603:45:19:17:9174,17_9174,,,Q9174,"/religion - set of beliefs, practices and traditions for a group or community/",,
1603:45:19:17:9174:16970,17_9174_16970,,,Q16970,/church building - building constructed for Christian worship/,,
1603:45:19:17:9174:34627,17_9174_34627,,,Q34627,/synagogue - Jewish (or rarely Samaritan) house of prayer/,,
1603:45:19:17:9174:44539,17_9174_44539,,,Q44539,/temple - structure reserved for religious or spiritual activities/,,
