#adm3+name+i_en,#adm3+name+i_ar,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm3+name+alt1+i_ar,#adm3+name+alt2+i_ar,#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Damascus,دمشق,SY010000,,,,,,Damascus,دمشق,SY0100,Damascus,دمشق,SY01,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jebel Saman,مركز جبل سمعان,SY020000,,,,,,Jebel Saman,جبل سمعان,SY0200,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Atareb,أتارب,SY020001,,,,,,Jebel Saman,جبل سمعان,SY0200,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tall Ed-daman,تل الضمان,SY020002,,,,,,Jebel Saman,جبل سمعان,SY0200,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Haritan,حريتان,SY020003,,,,,,Jebel Saman,جبل سمعان,SY0200,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Daret Azza,دارة عزة,SY020004,,,,,,Jebel Saman,جبل سمعان,SY0200,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Zarbah,الزربة,SY020005,,,,,,Jebel Saman,جبل سمعان,SY0200,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hadher,الحاضر,SY020006,,,,,,Jebel Saman,جبل سمعان,SY0200,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al Bab,مركز الباب,SY020200,,,,,,Al Bab,الباب,SY0202,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tadaf,تادف,SY020201,,,,,,Al Bab,الباب,SY0202,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Dayr Hafir,دير حافر,SY020202,,,,,,Al Bab,الباب,SY0202,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
