#adm1+name+i_en,#adm1+name+i_sq,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_sq,#adm1+name+alt2+i_sq,#country+name+i_en,#country+name+i_sq,#country+code+v_iso2,#date+start,#date+updated,#date+end
Berat,Berat,AL01,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Diber,Dibër,AL02,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Durres,Durrës,AL03,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Elbasan,Elbasan,AL04,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Fier,Fier,AL05,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gjirokaster,Gjirokastër,AL06,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Korce,Korçë,AL07,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kukes,Kukës,AL08,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Lezhe,Lezhë,AL09,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Shkoder,Shkodër,AL10,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Tirane,Tiranë,AL11,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Vlore,Vlorë,AL12,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
