#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ngouri,TD070201,Ngouri,,,Wayi,TD0702,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Bol,TD070101,Bol,,,Mamdi,TD0701,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Baga-Sola,TD070301,Baga-Sola,,,Kaya,TD0703,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Daboua,TD070402,Daboua,,,Fouli,TD0704,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Kangalom,TD070102,Kangalom,,,Mamdi,TD0701,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Liwa,TD070401,Liwa,,,Fouli,TD0704,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Doum-Doum,TD070202,Doum-Doum,,,Wayi,TD0702,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Kouloudia,TD070203,Kouloudia,,,Wayi,TD0702,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Ngouboua,TD070302,Ngouboua,,,Kaya,TD0703,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
Kaiga-Kindjiria,TD070403,Kaiga-Kindjiria,,,Fouli,TD0704,Lac,TD07,Tchad,TD,2016-04-07,2016-05-09,
