#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ar,#adm2+name+alt2+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Al Qafr,القفر,YE1101,Al Qafr,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Yarim,يريم,YE1102,Yarim,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Ar Radmah,الرضمه,YE1103,Ar Radmah,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
An Nadirah,النادره,YE1104,An Nadirah,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Ash Sha'ir,الشعر,YE1105,Ash Shair,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
As Saddah,السده,YE1106,As Saddah,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Makhadir,المخادر,YE1107,Al Makhadir,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Hobeish,حبيش,YE1108,Hobeish,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Hazm Al Odayn,حزم العدين,YE1109,Hazm Al Odayn,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Far' Al Odayn,فرع العدين,YE1110,Far Al Odayn,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Odayn,العدين,YE1111,Al Odayn,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Jiblah,جبله,YE1112,Jiblah,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Ba'dan,بعدان,YE1113,Badan,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
As Sabrah,السبره,YE1114,As Sabrah,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
As Saiyani,السياني,YE1115,As Saiyani,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Dhi As Sufal,ذي السفال,YE1116,Dhi As Sufal,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Mudhaykhirah,مذيخره,YE1117,Mudhaykhirah,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Mashannah,المشنه,YE1118,Al Mashannah,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Adh Dhihar,الظهار,YE1119,Adh Dhihar,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Ibb,اب,YE1120,Ibb,,,,,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Mahfad,المحفد,YE1201,Al Mahfad,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Mudiyah,موديه,YE1202,Mudiyah,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Jayshan,جيشان,YE1203,Jayshan,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Lawdar,لودر,YE1204,Lawdar,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Sibah,سباح,YE1205,Sibah,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Rassd,رصد,YE1206,Rassd,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Sarar,سرار,YE1207,Sarar,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Wadi',الوضيع,YE1208,Al Wadi,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Ahwar,احور,YE1209,Ahwar,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Zinjibar,زنجبار,YE1210,Zinjibar,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Khanfar,خنفر,YE1211,Khanfar,,,,,Abyan,ابين,YE12,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Old City,صنعاء القديمه,YE1301,Old City,,,,,Sana'a City,امانة العاصمه,YE13,Yemen,اليمن,YE,2019-02-01,2019-10-02,
