Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Wikidata QID,"Wikidata QID, meta",Multiple languages,"Multiple languages, meta",/scope and content/@eng-Latn,"/scope and content/@eng-Latn, metadata",HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",Cōdex factō,Cōdex factō; meta,n,o,p,q,r,s,t,u,v,w,x,y
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#meta+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikip7535,#meta+rem+i_qcc+is_zxxx+ix_wikip7535,#item+rem+i_qcc+is_zxxx+ix_hxlix,#meta+rem+i_qcc+is_zxxx+ix_hxl,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto,,,,,,,,,,,,
0_1603_1_7_2616_98,,,,,,,,,,,EticaAI,,,,,,,,,,,,,
0_1603_1_7_2616_2479,,,,,,,,,,,CC0-1.0,,,,,,,,,,,,,
0_1603_1_7_2616_577,,,,,,,,,,,2022-03-13,,,,,,,,,,,,,
0_1603_1_7_2616_655,,,,,,,,,,,Vicidata,,,,,,,,,,,,,
0_1603_1_7_2616_854_1,,,,,,,,,,,urn:1603:44:101||/The _[1603:44:101] //Dictiōnāria basibus de scielus contrā persōnam// _is the group of dictionaries focused at individual level/@eng-Latn,,,,,,,,,,,,,
0_1603_1_7_2616_859,,,,,,,,,,,pro bonō publicō,,,,,,,,,,,,,
0_1603_1_7_2616_7535,,,,,,,,,,,/Dicionários genéricos sobre métodos de tortura/@por-Latn,,,,,,,,,,,,,
1,,,Q41228212,,//list of methods of torture//,,,,,,,,,,,,,,,,,,,
100,,,,,/psychological torture methods/@eng-Latn,,,,,,,,,,,,,,,,,,,
100_1,,,Q944333,,/sensory deprivation || the act of deliberately removing or reducing stimuli/@eng-Latn,,,,,,,,,,,,,,,,,,,
100_1_1,,,Q360904,,/white torture || method of psychological torture utilizing sensory deprivation/@eng-Latn,,,,,,,,,,,,,,,,,,,
100_2,,,Q4385380,,/music in psychological operations/@eng-Latn,,,,,,,,,,,,,,,,,,,
100_2_1,,,Q3002798,,/sound of fingernails scraping chalkboard/@eng-Latn,,,,,,,,,,,,,,,,,,,
100_991,,,Q34284,,/blackmail || coercion based on threat of revealing information/@eng-Latn,,,,,,,,,,,,,,,,,,,
100_992,,,Q1364801,,/sleep deprivation || condition of not having enough sleep/@eng-Latn,,,,,,,,,,,,,,,,,,,
200,,,,,/physical torture methods/@eng-Latn,See also https://en.wikipedia.org/wiki/Corporal_punishment,,,,,,,,,,,,,,,,,,
200_1,,,Q2552748,,/waterboarding || drowning simulating torture method/@eng-Latn,,,,,,,,,,,,,,,,,,,
210,1,1,Q673281,,/sexual assault || act of coercing or physically forcing a person to engage in sexual activity/@eng-Latn,,,,,,,,,,,,,,,,,,,
210_1,1,1,Q47092,,/rape || type of sexual assault usually involving sexual intercourse without consent/@eng-Latn,,,,,,,,,,,,,,,,,,,
300,,,,,"/other, need classification/@eng-Latn",,,,,,,,,,,,,,,,,,,
300_1,,,Q257222,,/medical torture/@eng-Latn,,,,,,,,,,,,,,,,,,,
300_2,,,Q7144982,,"/patient abuse || action or failure to act which causes unreasonable suffering, misery or harm to the patient/@eng-Latn",,,,,,,,,,,,,,,,,,,
300_3,,,Q908714,,/truth drug || class of psychoactive drug (not actually scientific)/@eng-Latn,,,,,,,,,,,,,,,,,,,
