qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:360:2:1101,1101,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1101,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1102,1102,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1102,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1103,1103,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1103,Aceh Selatan,ID1103,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1104,1104,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1104,Aceh Tenggara,ID1104,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1105,1105,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1105,Aceh Timur,ID1105,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1106,1106,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1106,Aceh Tengah,ID1106,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1107,1107,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1107,Aceh Barat,ID1107,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1108,1108,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1108,Aceh Besar,ID1108,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1109,1109,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1109,Pidie,ID1109,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1110,1110,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1110,Bireuen,ID1110,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1111,1111,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1111,Aceh Utara,ID1111,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1112,1112,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1112,Aceh Barat Daya,ID1112,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1113,1113,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1113,Gayo Lues,ID1113,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1114,1114,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1114,Aceh Tamiang,ID1114,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1115,1115,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1115,Nagan Raya,ID1115,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1116,1116,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1116,Aceh Jaya,ID1116,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1117,1117,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1117,Bener Meriah,ID1117,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1118,1118,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1118,Pidie Jaya,ID1118,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:2:1171,1171,1603:45:16:360:0,1603:45:16:360:1:11,1603:45:16:360:2:1171,Kota Banda Aceh,ID1171,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
