#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:64:41:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,,,EticaAI
1603:64:41:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,,,EticaAI
1603:64:41:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,CC0-1.0
1603:64:41:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,2022-04-25
1603:64:41:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,1603_64_41 //Dictiōnāria basibus dē perītiae per susurrōs vītālēs//
1603:64:41:17,17,,,,/Wikidata QIDs/,,
1603:64:41:17:11660,17_11660,,,Q11660,/artificial intelligence - field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents/,,
1603:64:41:17:94702,17_94702,,,Q94702,/collaborative filtering - algorithm/,,
1603:64:41:17:161410,17_161410,,,Q161410,/peer-to-peer - type of decentralized and distributed network architecture/,,
1603:64:41:17:167323,17_167323,,,Q167323,/altruism - principle or practice of concern for the welfare of others/,,
1603:64:41:17:180634,17_180634,,,Q180634,/distributed computing - system whose components are located on different networked computers/,,
1603:64:41:17:182985,17_182985,,,Q182985,/electoral system - method by which voters make a choice between options/,,
1603:64:41:17:186368,17_186368,,,Q186368,/mutualism - organism relationship in which each individual benefits from the activity of the other/,,
1603:64:41:17:188577,17_188577,,,Q188577,"/consensus decision-making -  Collective decision-making processes in which participants develop and decide on proposals with the aim, or requirement, of acceptance by all/",,
1603:64:41:17:188961,17_188961,,,Q188961,"/decentralization - process of redistributing or dispersing functions, powers, people or things away from a central location or authority/",,
1603:64:41:17:191934,17_191934,,,Q191934,/commensalism - an interaction between two organisms living together in more or less intimate association in a relationship in which one benefits and the other is unaffected./,,
1603:64:41:17:215028,17_215028,,,Q215028,/peer review - evaluation of work by one or more people of similar competence to the producers of the work/,,
1603:64:41:17:290036,17_290036,,,Q290036,/network simulation - simulating computer networks/,,
1603:64:41:17:304922,17_304922,,,Q304922,/social dynamics - study of behavior of groups/,,
1603:64:41:17:388791,17_388791,,,Q388791,/group decision-making - situation faced when individuals collectively make a choice/,,
1603:64:41:17:430880,17_430880,,,Q430880,/collective consciousness - shared beliefs and ideas in society/,,
1603:64:41:17:432197,17_432197,,,Q432197,/collective intelligence - group intelligence that emerges from collective efforts/,,
1603:64:41:17:460851,17_460851,,,Q460851,/ant colony optimization algorithms/,,
1603:64:41:17:465266,17_465266,,,Q465266,/crowd simulation - model of movement/,,
1603:64:41:17:529909,17_529909,,,Q529909,/multi-agent system/,,
1603:64:41:17:559688,17_559688,,,Q559688,/network emulation - controlled environment simulating real-world network scenarios in order to validate realistic performance of products/,,
1603:64:41:17:574814,17_574814,,,Q574814,/discrete event simulation - type of simulation/,,
1603:64:41:17:609408,17_609408,,,Q609408,/self-organization - process of creating order by local interactions/,,
1603:64:41:17:729672,17_729672,,,Q729672,/noosphere - sphere of human thought/,,
1603:64:41:17:753694,17_753694,,,Q753694,/eusociality - highest level of animal sociality a species can attain/,,
1603:64:41:17:780716,17_780716,,,Q780716,/Social Exchange Theory - generalization theory/,,
1603:64:41:17:839578,17_839578,,,Q839578,/group dynamics - system of behaviors and psychological processes occurring within a social group or between social groups/,,
1603:64:41:17:863960,17_863960,,,Q863960,"/swarm intelligence - collective behavior of decentralized, self-organized systems/",,
1603:64:41:17:905036,17_905036,,,Q905036,/computational sociology - branch of sociology that uses computational methods to study social phenomena/,,
1603:64:41:17:1471594,17_1471594,,,Q1471594,/collective action - action taken together by a group of people whose goal is to enhance their status and achieve a common objective/,,
