qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:818:1:1,1,1603:45:16:818:0,1603:45:16:818:1:1,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:2,2,1603:45:16:818:0,1603:45:16:818:1:2,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:3,3,1603:45:16:818:0,1603:45:16:818:1:3,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:4,4,1603:45:16:818:0,1603:45:16:818:1:4,Suez,السويس,EG04,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:11,11,1603:45:16:818:0,1603:45:16:818:1:11,Damietta,دمياط,EG11,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:12,12,1603:45:16:818:0,1603:45:16:818:1:12,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:13,13,1603:45:16:818:0,1603:45:16:818:1:13,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:14,14,1603:45:16:818:0,1603:45:16:818:1:14,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:15,15,1603:45:16:818:0,1603:45:16:818:1:15,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:16,16,1603:45:16:818:0,1603:45:16:818:1:16,Gharbia,الغربية,EG16,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:17,17,1603:45:16:818:0,1603:45:16:818:1:17,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:18,18,1603:45:16:818:0,1603:45:16:818:1:18,Behera,البحيرة,EG18,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:19,19,1603:45:16:818:0,1603:45:16:818:1:19,Ismailia,الإسماعيلية,EG19,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:21,21,1603:45:16:818:0,1603:45:16:818:1:21,Giza,الجيزة,EG21,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:22,22,1603:45:16:818:0,1603:45:16:818:1:22,Beni Suef,بنى سويف,EG22,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:23,23,1603:45:16:818:0,1603:45:16:818:1:23,Fayoum,الفيوم,EG23,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:24,24,1603:45:16:818:0,1603:45:16:818:1:24,Menia,المنيا,EG24,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:25,25,1603:45:16:818:0,1603:45:16:818:1:25,Assiut,أسيوط,EG25,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:26,26,1603:45:16:818:0,1603:45:16:818:1:26,Suhag,سوهاج,EG26,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:27,27,1603:45:16:818:0,1603:45:16:818:1:27,Qena,قنا,EG27,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:28,28,1603:45:16:818:0,1603:45:16:818:1:28,Aswan,أسوان,EG28,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:29,29,1603:45:16:818:0,1603:45:16:818:1:29,Luxor,مدينة الأقصر,EG29,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:31,31,1603:45:16:818:0,1603:45:16:818:1:31,Red Sea,البحر الأحمر,EG31,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:32,32,1603:45:16:818:0,1603:45:16:818:1:32,New Valley,الوادى الجديد,EG32,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:33,33,1603:45:16:818:0,1603:45:16:818:1:33,Matrouh,مطروح,EG33,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:34,34,1603:45:16:818:0,1603:45:16:818:1:34,North Sinai,شمال سيناء,EG34,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:35,35,1603:45:16:818:0,1603:45:16:818:1:35,South Sinai,جنوب سيناء,EG35,Egypt,مِصر,EG,2017-08-14,2020-12-01,
