Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Wikidata QID,"Wikidata QID, meta",Multiple languages,"Multiple languages, meta",HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#meta+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#meta+rem+i_qcc+is_zxxx+ix_hxl,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
0_1603_1_7_2616_50,,,,,,,,,EticaAI,
0_1603_1_7_2616_123,,,,,,,,,EticaAI,
0_1603_1_7_2616_2479,,,,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal
0_1603_1_7_2616_577,,,,,,,,,2022-04-14,
0_1603_1_7_2616_7535,,,,,,,,,TODO: explain 1603_45_95,
6875295,,,Q6875295,Separar e por esse link aqui https://www.thenewhumanitarian.org/feature/2021/2/11/25-years-of-sexual-exploitation-and-abuse,,,/misconduct/,,,
169207,,,Q169207,,,,/discrimination/,de https://digitallibrary.un.org/record/3827518,,
751722,,,Q751722,,,,/sexual harassment/,de https://digitallibrary.un.org/record/3827518,,
751722_1975478,,,Q1975478,,,,/abuse of authority/,,,
3240539,,,Q3240539,,,,/harassment/,de https://digitallibrary.un.org/record/3827518,,
7458798,,,Q7458798,,,,/sexual misconduct/,,,
7458798_47092,,,Q47092,,,,/rape/,,,
7458798_47092_1968926,,,Q1968926,,,,/statutory rape/,,,
7458798_47092_1968926_1147070,,,Q1147070,,,,/child grooming/,,,
7458798_47092_7293885,,,Q7293885,,,,/rape by deception/,,,
7458798_47092_23807951,,,Q23807951,,,,/unacknowledged rape/,,,
7458798_47092_26267537,,,Q26267537,,,,/serial rapist/,,,
7458798_673281,,,Q673281,,,,/sexual assault/,,,
7458798_5347294,,,Q5347294,,,,/effects and aftermath of rape/,,,
7458798_5347294_1017877,,,Q1017877,,,,/rape trauma syndrome (RTS)/,,,
7458798_5347294_7239891,,,Q7239891,,,,/pregnancy from rape/,,,
7458798_5347294_28134940,,,Q28134940,,,,/post-assault treatment of sexual assault victims/,,,
7458798_42965351,,,Q42965351,,,,/Weinstein effect/,,,
9999999,,,,,,,/financial misconduct/,,,
99999999,,,,,,,//other//,,,
99999999_5097924,,,Q5097924,,,,/Child sexual abuse by UN peacekeepers/,,,
30315193,,,Q30315193,,,,/Minnesota Protocol/,,,
2120363,,,Q2120363,,,,/Istanbul Protocol/,,,
