qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,lao-Laoo-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,lao-Laoo-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,lao-Laoo-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:418:2:101,101,1603:45:16:418:0,1603:45:16:418:1:1,1603:45:16:418:2:101,Chanthabuly,ມ. ຈັນທະບູລີ,LA0101,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:102,102,1603:45:16:418:0,1603:45:16:418:1:1,1603:45:16:418:2:102,Sikhottabong,ມ. ສີໂຄດຕະບອງ,LA0102,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:103,103,1603:45:16:418:0,1603:45:16:418:1:1,1603:45:16:418:2:103,Xaysetha,ມ. ໄຊເສດຖາ,LA0103,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:104,104,1603:45:16:418:0,1603:45:16:418:1:1,1603:45:16:418:2:104,Sisattanak,ມ. ສີສັດຕະນາກ,LA0104,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:105,105,1603:45:16:418:0,1603:45:16:418:1:1,1603:45:16:418:2:105,Naxaithong,ມ. ນາຊາຍທອງ,LA0105,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:106,106,1603:45:16:418:0,1603:45:16:418:1:1,1603:45:16:418:2:106,Xaythany,ມ. ໄຊທະນີ,LA0106,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:107,107,1603:45:16:418:0,1603:45:16:418:1:1,1603:45:16:418:2:107,Hadxaifong,ມ. ຫາດຊາຍຟອງ,LA0107,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:108,108,1603:45:16:418:0,1603:45:16:418:1:1,1603:45:16:418:2:108,Sangthong,ມ. ສັງທອງ,LA0108,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:109,109,1603:45:16:418:0,1603:45:16:418:1:1,1603:45:16:418:2:109,Mayparkngum,ມ. ປາກງື່ມ,LA0109,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:201,201,1603:45:16:418:0,1603:45:16:418:1:2,1603:45:16:418:2:201,Phongsaly,ມ. ຜົ້ງສາລີ,LA0201,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:202,202,1603:45:16:418:0,1603:45:16:418:1:2,1603:45:16:418:2:202,May,ມ. ໃໝ່,LA0202,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:203,203,1603:45:16:418:0,1603:45:16:418:1:2,1603:45:16:418:2:203,Khua,ມ. ຂວາ,LA0203,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:204,204,1603:45:16:418:0,1603:45:16:418:1:2,1603:45:16:418:2:204,Samphanh,ມ. ສຳພັນ,LA0204,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:205,205,1603:45:16:418:0,1603:45:16:418:1:2,1603:45:16:418:2:205,Boon Neua,ມ. ບຸນເໜືອ,LA0205,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:206,206,1603:45:16:418:0,1603:45:16:418:1:2,1603:45:16:418:2:206,Nhot Ou,ມ. ຍອດອູ,LA0206,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:207,207,1603:45:16:418:0,1603:45:16:418:1:2,1603:45:16:418:2:207,Boontay,ມ. ບຸນໃຕ້,LA0207,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:301,301,1603:45:16:418:0,1603:45:16:418:1:3,1603:45:16:418:2:301,Namtha,ມ. ນ້ຳທາ,LA0301,Louangnamtha,ຫຼວງນ້ຳທາ,LA03,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:302,302,1603:45:16:418:0,1603:45:16:418:1:3,1603:45:16:418:2:302,Sing,ມ. ສິງ,LA0302,Louangnamtha,ຫຼວງນ້ຳທາ,LA03,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:303,303,1603:45:16:418:0,1603:45:16:418:1:3,1603:45:16:418:2:303,Long,ມ. ລອງ,LA0303,Louangnamtha,ຫຼວງນ້ຳທາ,LA03,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:304,304,1603:45:16:418:0,1603:45:16:418:1:3,1603:45:16:418:2:304,Viengphoukha,ມ. ວຽງພູຄາ,LA0304,Louangnamtha,ຫຼວງນ້ຳທາ,LA03,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:305,305,1603:45:16:418:0,1603:45:16:418:1:3,1603:45:16:418:2:305,Nalae,ມ. ນາແລ,LA0305,Louangnamtha,ຫຼວງນ້ຳທາ,LA03,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:401,401,1603:45:16:418:0,1603:45:16:418:1:4,1603:45:16:418:2:401,Xay,ມ. ໄຊ,LA0401,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:402,402,1603:45:16:418:0,1603:45:16:418:1:4,1603:45:16:418:2:402,La,ມ. ຫຼາ,LA0402,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:403,403,1603:45:16:418:0,1603:45:16:418:1:4,1603:45:16:418:2:403,Namor,ມ. ນາໝໍ້,LA0403,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:404,404,1603:45:16:418:0,1603:45:16:418:1:4,1603:45:16:418:2:404,Nga,ມ. ງາ,LA0404,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:405,405,1603:45:16:418:0,1603:45:16:418:1:4,1603:45:16:418:2:405,Beng,ມ. ແບງ,LA0405,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:406,406,1603:45:16:418:0,1603:45:16:418:1:4,1603:45:16:418:2:406,Hoon,ມ. ຮຸນ,LA0406,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:407,407,1603:45:16:418:0,1603:45:16:418:1:4,1603:45:16:418:2:407,Pakbeng,ມ. ປາກແບງ,LA0407,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:501,501,1603:45:16:418:0,1603:45:16:418:1:5,1603:45:16:418:2:501,Huoixai,ມ. ຫ້ວຍຊາຍ,LA0501,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:502,502,1603:45:16:418:0,1603:45:16:418:1:5,1603:45:16:418:2:502,Tonpheung,ມ. ຕົ້ນເຜິ້ງ,LA0502,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:503,503,1603:45:16:418:0,1603:45:16:418:1:5,1603:45:16:418:2:503,Meung,ມ. ເມິງ,LA0503,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:504,504,1603:45:16:418:0,1603:45:16:418:1:5,1603:45:16:418:2:504,Pha Oudom,ມ. ຜາອຸດົມ,LA0504,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:505,505,1603:45:16:418:0,1603:45:16:418:1:5,1603:45:16:418:2:505,Paktha,ມ. ປາກທາ,LA0505,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:601,601,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:601,Luangprabang,ມ. ຫຼວງພະບາງ,LA0601,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:602,602,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:602,Xieng Ngeun,ມ. ຊຽງເງີນ,LA0602,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:603,603,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:603,Nan,ມ. ນານ,LA0603,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:604,604,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:604,Park Ou,ມ. ປາກອູ,LA0604,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:605,605,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:605,Nambak,ມ. ນ້ຳບາກ,LA0605,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:606,606,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:606,Ngoi,ມ. ງອຍ,LA0606,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:607,607,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:607,Pak Xeng,ມ. ປາກແຊງ,LA0607,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:608,608,1603:45:16:418:0,1603:45:16:418:1:6,1603:45:16:418:2:608,Phonxay,ມ. ໂພນໄຊ,LA0608,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
